sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,2 Bundesliga,Round 20,01/02/,Dusseldorf,Paderborn,2,1,0,2.93,3.45,2.38,g_1_I9AFwtkI,0.53,0.75
football,2 Bundesliga,Round 20,01/02/,Hertha Berlin,Darmstadt,2,2,1,2.16,3.61,3.21,g_1_xETwvA0b,1.82,2.72
football,2 Bundesliga,Round 20,01/02/,SG Dynamo Dresden,Arminia Bielefeld,1,1,1,2.56,3.38,2.74,g_1_6gLfzSaN,0.97,1.64
football,2 Bundesliga,Round 20,01/02/,Kaiserslautern,Elversberg,1,3,2,2.9,3.52,2.37,g_1_jN8NyKJU,0.46,3.19
football,2 Bundesliga,Round 20,31/01/,Bochum,Schalke,2,0,0,2.29,3.2,3.15,g_1_lG3asOkg,0.75,1.07
football,2 Bundesliga,Round 20,31/01/,Braunschweig,Karlsruher SC,1,0,0,2.08,3.42,3.42,g_1_bTHnxlVA,1.42,0.9
football,2 Bundesliga,Round 20,31/01/,Holstein Kiel,Greuther Furth,1,2,2,1.68,3.88,4.65,g_1_S0FjqpLt,0.88,0.98
football,2 Bundesliga,Round 20,31/01/,Magdeburg,Hannover,1,2,2,2.77,3.44,2.5,g_1_MsH6u2K5,0.57,1.63
football,2 Bundesliga,Round 20,31/01/,Nurnberg,Preussen Munster,1,1,1,2.15,3.34,3.46,g_1_WGQVuWVo,1.81,0.89
football,2 Bundesliga,Round 19,25/01/,Elversberg,Bochum,1,1,1,2.0,3.67,3.59,g_1_44uIYg7L,1.36,0.78
football,2 Bundesliga,Round 19,25/01/,Paderborn,Preussen Munster,2,1,0,1.67,3.75,5.32,g_1_0zRmTXUr,3.13,1.35
football,2 Bundesliga,Round 19,25/01/,Schalke,Kaiserslautern,2,2,1,1.94,3.36,4.18,g_1_6g5Wwkq1,1.13,0.94
football,2 Bundesliga,Round 19,25/01/,Magdeburg,SG Dynamo Dresden,1,2,2,1.68,4.03,4.78,g_1_KxskRBae,1.77,1.29
football,2 Bundesliga,Round 19,24/01/,Greuther Furth,Braunschweig,0,0,1,2.89,3.32,2.46,g_1_Yu7OuBEl,0.68,1.28
football,2 Bundesliga,Round 19,24/01/,Hannover,Dusseldorf,2,1,0,1.82,3.87,4.08,g_1_8bNqmgME,3.27,0.55
football,2 Bundesliga,Round 19,24/01/,Karlsruher SC,Hertha Berlin,2,2,1,3.62,3.74,1.97,g_1_S2pcPkU7,1.29,1.77
football,2 Bundesliga,Round 19,24/01/,Arminia Bielefeld,Holstein Kiel,2,2,1,2.2,3.24,3.46,g_1_2LbuxTDD,1.71,1.0
football,2 Bundesliga,Round 19,24/01/,Darmstadt,Nurnberg,2,0,0,1.95,3.7,3.7,g_1_GOQioXjR,1.2,1.29
football,2 Bundesliga,Round 18,18/01/,Bochum,Darmstadt,3,3,1,2.46,3.32,2.89,g_1_YoSX1eWq,2.57,1.73
football,2 Bundesliga,Round 18,18/01/,Holstein Kiel,Paderborn,2,0,0,2.96,3.37,2.4,g_1_lEj17H8M,1.44,0.89
football,2 Bundesliga,Round 18,18/01/,Kaiserslautern,Hannover,3,1,0,3.09,3.54,2.24,g_1_zB8SNxg3,2.79,1.68
football,2 Bundesliga,Round 18,18/01/,Hertha Berlin,Schalke,0,0,1,2.63,3.23,2.76,g_1_4j0qKfhS,1.71,0.55
football,2 Bundesliga,Round 18,17/01/,Nurnberg,Elversberg,3,2,0,2.53,3.44,2.73,g_1_8O6zMGNF,3.22,2.29
football,2 Bundesliga,Round 18,17/01/,Preussen Munster,Karlsruher SC,0,2,2,1.8,3.78,4.32,g_1_KG5EEYFk,1.09,1.26
football,2 Bundesliga,Round 18,17/01/,SG Dynamo Dresden,Greuther Furth,2,0,0,1.88,3.78,3.92,g_1_8xn9zGx9,1.36,0.48
football,2 Bundesliga,Round 18,17/01/,Braunschweig,Magdeburg,0,3,2,2.97,3.68,2.25,g_1_tWgNCCp2,0.23,2.54
football,2 Bundesliga,Round 18,17/01/,Dusseldorf,Arminia Bielefeld,1,0,0,2.42,3.55,2.8,g_1_K2Qu0Z0d,1.36,0.36
football,2 Bundesliga,Round 17,21/12/,Braunschweig,Schalke,2,1,0,3.18,3.33,2.28,g_1_tlmg9wvA,1.5,1.61
football,2 Bundesliga,Round 17,21/12/,Nurnberg,Hannover,2,1,0,3.37,3.64,2.08,g_1_0fkQ54XH,0.92,1.45
football,2 Bundesliga,Round 17,21/12/,Preussen Munster,Elversberg,1,1,1,3.22,3.36,2.26,g_1_pMgpBa9c,2.85,2.05
