sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Bundesliga,Round 16,28/01/,St. Pauli,RB Leipzig,1,1,1,5.4,3.59,1.77,g_1_ObDLNPCO,1.45,1.04
football,Bundesliga,Round 16,28/01/,Werder Bremen,Hoffenheim,0,2,2,4.06,3.82,1.91,g_1_2B3cTTrm,1.81,0.61
football,Bundesliga,Round 20,02/02/,Dortmund,Heidenheim,3,2,0,1.3,6.79,8.88,g_1_vRmqLQiJ,3.32,2.32
football,Bundesliga,Round 20,01/02/,Stuttgart,Freiburg,1,0,0,1.69,4.3,4.86,g_1_QN5Aynx0,1.79,0.7
football,Bundesliga,Round 20,01/02/,Hamburger SV,Bayern Munich,2,2,1,8.12,6.69,1.32,g_1_vV1owaD4,2.25,2.4
football,Bundesliga,Round 20,31/01/,Augsburg,St. Pauli,2,1,0,2.15,3.28,3.84,g_1_by4IZP6C,1.13,2.46
football,Bundesliga,Round 20,31/01/,Eintracht Frankfurt,Bayer Leverkusen,1,3,2,3.4,3.81,2.11,g_1_W0pyNnN6,1.1,1.15
football,Bundesliga,Round 20,31/01/,Hoffenheim,Union Berlin,3,1,0,1.86,3.86,4.26,g_1_hxMjHHjo,1.37,1.84
football,Bundesliga,Round 20,31/01/,RB Leipzig,Mainz,1,2,2,1.58,4.82,5.33,g_1_KMQVrUqQ,1.74,2.33
football,Bundesliga,Round 20,31/01/,Werder Bremen,B. Monchengladbach,1,1,1,2.19,3.67,3.31,g_1_UeC1w87m,1.23,0.88
football,Bundesliga,Round 20,31/01/,FC Koln,Wolfsburg,1,0,0,2.11,3.81,3.4,g_1_IFDxuLrh,1.26,1.15
football,Bundesliga,Round 19,26/01/,Freiburg,FC Koln,2,1,0,2.05,3.79,3.58,g_1_27DoCV8l,2.25,1.39
football,Bundesliga,Round 19,25/01/,B. Monchengladbach,Stuttgart,0,3,2,2.94,3.78,2.35,g_1_Wn528m8D,1.17,1.55
football,Bundesliga,Round 19,25/01/,Union Berlin,Dortmund,0,3,2,3.47,3.36,2.25,g_1_bgclWj0K,1.24,1.84
football,Bundesliga,Round 19,24/01/,Bayer Leverkusen,Werder Bremen,1,0,0,0.0,0.0,0.0,g_1_nZBEJDGE,2.55,0.94
football,Bundesliga,Round 16,11/01/,Bayer Leverkusen,Stuttgart,1,4,2,2.17,3.8,3.28,g_1_GEoWC8b6,1.96,2.6
football,Bundesliga,Round 16,10/01/,Freiburg,Hamburger SV,2,1,0,1.84,3.57,4.85,g_1_rRMQYkLP,2.84,0.67
football,Bundesliga,Round 16,10/01/,Heidenheim,FC Koln,2,2,1,2.82,3.49,2.57,g_1_SCwWsTct,1.93,2.99
football,Bundesliga,Round 16,10/01/,Union Berlin,Mainz,2,2,1,2.03,3.26,4.33,g_1_WjeEPorC,3.35,1.0
football,Bundesliga,Round 16,10/01/,Eintracht Frankfurt,Dortmund,3,3,1,3.6,3.81,2.11,g_1_xUZvBnTI,1.58,2.39
football,Bundesliga,Round 15,22/12/,Heidenheim,Bayern Munich,0,4,2,14.2,10.4,1.16,g_1_QRccRnd2,1.04,4.43
football,Bundesliga,Round 15,21/12/,Mainz,St. Pauli,0,0,1,1.96,3.39,4.44,g_1_SdcOE9Cd,1.13,0.3
football,Bundesliga,Round 15,21/12/,RB Leipzig,Bayer Leverkusen,1,3,2,2.1,4.0,3.28,g_1_KjpAxD43,1.76,2.72
football,Bundesliga,Round 15,20/12/,Augsburg,Werder Bremen,0,0,1,2.25,3.57,3.27,g_1_I1fkT8Rk,1.03,0.59
football,Bundesliga,Round 15,20/12/,FC Koln,Union Berlin,0,1,2,2.63,3.2,2.97,g_1_tzSsZbF8,0.54,1.27
football,Bundesliga,Round 15,20/12/,Hamburger SV,Eintracht Frankfurt,1,1,1,2.45,3.56,2.93,g_1_CMlFGjas,0.75,1.58
football,Bundesliga,Round 15,20/12/,Stuttgart,Hoffenheim,0,0,1,1.98,3.86,3.75,g_1_Q3FAziZF,1.26,0.13
football,Bundesliga,Round 15,20/12/,Wolfsburg,Freiburg,3,4,2,2.41,3.58,2.97,g_1_YTIIYU3S,1.66,3.53
football,Bundesliga,Round 15,20/12/,Dortmund,B. Monchengladbach,2,0,0,1.49,4.85,6.52,g_1_WU3FGVsp,1.43,0.28
football,Bundesliga,Round 14,15/12/,Werder Bremen,Stuttgart,0,4,2,2.84,3.85,2.38,g_1_MehA7h5T,0.91,2.17
football,Bundesliga,Round 14,15/12/,Bayern Munich,Mainz,2,2,1,1.1,13.4,21.0,g_1_jiKbkgqo,4.5,0.6
football,Bundesliga,Round 14,14/12/,Freiburg,Dortmund,1,1,1,4.09,3.69,1.94,g_1_QTb19EzH,1.5,0.92
