sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Championship,Round 19,06/12/,Charlton,Portsmouth,0,0,1,,,,,,
football,Championship,Round 29,27/01/,Norwich,Coventry,2,1,0,3.38,3.72,2.15,g_1_hMm97a4m,1.18,1.91
football,Championship,Round 30,01/02/,Blackburn,Hull,0,1,2,2.37,3.43,3.17,g_1_URrY1eYO,0.5,1.54
football,Championship,Round 30,01/02/,Ipswich,Preston,1,1,1,1.41,5.03,8.07,g_1_vwCjKxlg,2.79,1.19
football,Championship,Round 30,01/02/,Middlesbrough,Norwich,1,0,0,1.76,4.24,4.43,g_1_rV87GfmI,0.5,0.53
football,Championship,Round 30,01/02/,Millwall,Sheffield Utd,1,1,1,2.47,3.36,3.05,g_1_2JLubnXj,1.44,1.22
football,Championship,Round 30,01/02/,Oxford Utd,Birmingham,0,2,2,3.71,3.61,2.06,g_1_fRNQLkPc,0.47,1.14
football,Championship,Round 30,01/02/,Portsmouth,West Brom,3,0,0,2.96,3.09,2.7,g_1_jgHZJTgA,2.57,0.09
football,Championship,Round 30,01/02/,QPR,Coventry,2,1,0,4.05,3.74,1.94,g_1_O6FsI7OM,1.14,0.59
football,Championship,Round 30,01/02/,Watford,Swansea,0,2,2,2.21,3.34,3.59,g_1_Wj5XzNdL,0.91,2.64
football,Championship,Round 30,31/01/,Leicester,Charlton,0,2,2,1.9,3.47,4.65,g_1_z55aIGI5,1.98,1.31
football,Championship,Round 30,31/01/,Sheffield Wed,Wrexham,0,1,2,5.72,4.48,1.58,g_1_OQ1PxqS8,0.45,1.76
football,Championship,Round 30,31/01/,Stoke,Southampton,0,2,2,2.88,3.38,2.58,g_1_ridEConp,0.87,1.9
football,Championship,Round 30,31/01/,Bristol City,Derby,0,5,2,1.98,3.65,3.96,g_1_6PDrMbJt,0.22,1.91
football,Championship,Round 29,25/01/,Portsmouth,Southampton,1,1,1,3.51,3.65,2.12,g_1_0niH5wZa,1.66,1.18
football,Championship,Round 29,25/01/,Birmingham,Stoke,1,1,1,1.78,3.92,4.65,g_1_MROGxu5D,2.04,0.36
football,Championship,Round 29,25/01/,Blackburn,Watford,1,1,1,2.27,3.18,3.62,g_1_xz730rcK,0.89,1.43
football,Championship,Round 29,25/01/,Bristol City,Sheffield Wed,2,0,0,0.0,0.0,0.0,g_1_h0CYfMKs,2.56,0.71
football,Championship,Round 29,25/01/,Hull,Swansea,2,1,0,2.19,3.3,3.68,g_1_CUbxH15k,1.8,1.97
football,Championship,Round 29,25/01/,Leicester,Oxford Utd,1,2,2,1.85,3.5,4.88,g_1_Mu4kivK6,0.73,1.9
football,Championship,Round 29,25/01/,QPR,Wrexham,2,3,2,2.55,3.35,2.94,g_1_prcpFuz2,0.9,0.48
football,Championship,Round 29,25/01/,Sheffield Utd,Ipswich,3,1,0,2.91,3.49,2.5,g_1_M1uQ3H3C,1.59,1.97
football,Championship,Round 29,24/01/,Middlesbrough,Preston,4,0,0,1.57,4.34,6.15,g_1_I7cbkIlJ,2.71,0.4
football,Championship,Round 29,24/01/,Millwall,Charlton,4,0,0,1.76,3.68,5.26,g_1_A1ppDLtQ,3.97,0.15
football,Championship,Round 29,24/01/,Derby,West Brom,1,1,1,2.66,3.3,2.85,g_1_EF0sg0kf,0.33,1.19
football,Championship,Round 28,22/01/,Stoke,Middlesbrough,1,2,2,3.17,3.42,2.37,g_1_hnXatN5l,0.94,1.34
football,Championship,Round 28,22/01/,Southampton,Sheffield Utd,1,0,0,2.06,4.04,3.38,g_1_rDoUoqrR,1.04,1.14
football,Championship,Round 28,22/01/,Watford,Portsmouth,1,1,1,1.81,3.69,4.85,g_1_lEQ8v1z1,0.83,0.64
football,Championship,Round 28,21/01/,Wrexham,Leicester,1,1,1,2.35,3.61,3.05,g_1_hpI5MNsS,1.08,0.53
football,Championship,Round 28,21/01/,Charlton,Derby,1,2,2,2.68,3.1,2.99,g_1_MccLm5DE,0.93,1.88
football,Championship,Round 28,21/01/,Coventry,Millwall,2,1,0,1.88,3.73,4.36,g_1_pIFkQAFj,2.69,1.17
football,Championship,Round 28,21/01/,Ipswich,Bristol City,2,0,0,1.69,3.92,5.41,g_1_QDhxlE7c,1.08,0.71
football,Championship,Round 28,21/01/,Oxford Utd,QPR,0,0,1,2.45,3.46,3.0,g_1_YwdpnhxA,0.8,0.63
football,Championship,Round 28,21/01/,Preston,Hull,0,3,2,2.45,3.29,3.14,g_1_QBDITqMr,0.95,1.56
football,Championship,Round 28,21/01/,Sheffield Wed,Birmingham,0,2,2,7.34,4.63,1.48,g_1_bPBQRNje,0.37,2.76
football,Championship,Round 28,21/01/,Swansea,Blackburn,3,1,0,1.87,3.57,4.61,g_1_pKEcOqDF,0.87,1.02
football,Championship,Round 28,21/01/,West Brom,Norwich,0,5,2,2.06,3.61,3.71,g_1_fi5ZP1L7,1.24,1.08
football,Championship,Round 27,18/01/,Swansea,Birmingham,1,1,1,2.63,3.27,2.9,g_1_bRY222jd,1.63,1.05
