sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Champions League,Round 8,29/01/,Ajax,Olympiacos Piraeus,1,2,2,g_1_bBQm4aAM,3.15,3.76,2.24,1.88,0.53
football,Champions League,Round 8,29/01/,Arsenal,Kairat Almaty,3,2,0,g_1_xtloE3Ft,1.03,17.0,41.0,3.94,1.11
football,Champions League,Round 8,29/01/,Ath Bilbao,Sporting CP,2,3,2,g_1_v52WqyOE,0.0,0.0,0.0,0.57,1.76
football,Champions League,Round 8,29/01/,Atl. Madrid,Bodo/Glimt,1,2,2,g_1_bF0yPKTb,1.28,7.21,9.27,2.18,1.88
football,Champions League,Round 8,29/01/,Barcelona,FC Copenhagen,4,1,0,g_1_I3uVjzIF,1.13,10.9,19.8,3.18,1.05
football,Champions League,Round 8,29/01/,Bayer Leverkusen,Villarreal,3,0,0,g_1_roP9qhAk,1.7,4.19,4.86,1.93,0.25
football,Champions League,Round 8,29/01/,Benfica,Real Madrid2,4,2,0,g_1_jJG2pJxg,4.49,4.32,1.74,3.01,1.51
football,Champions League,Round 8,29/01/,Club Brugge KV,Marseille,3,0,0,g_1_A9IraDSP,2.88,3.7,2.42,1.41,1.03
football,Champions League,Round 8,29/01/,Dortmund,Inter,0,2,2,g_1_pdzEQOoK,2.86,3.57,2.5,0.84,0.99
football,Champions League,Round 8,29/01/,Eintracht Frankfurt,Tottenham,0,2,2,g_1_fLIvsE6s,5.06,4.25,1.67,0.87,1.28
football,Champions League,Round 8,29/01/,Liverpool,Qarabag,6,0,0,g_1_jgkGGsJl,1.11,12.1,19.8,5.92,0.21
football,Champions League,Round 8,29/01/,Manchester City,Galatasaray,2,0,0,g_1_hOjKb9c3,1.25,7.7,9.78,1.78,0.26
football,Champions League,Round 8,29/01/,Monaco,Juventus,0,0,1,g_1_OxS8nzqK,4.07,3.56,1.98,1.04,0.17
football,Champions League,Round 8,29/01/,Napoli,Chelsea,2,3,2,g_1_nLbmBb4N,3.5,3.7,2.11,0.97,2.01
football,Champions League,Round 8,29/01/,Pafos,Slavia Prague,4,1,0,g_1_l2ATLOyP,3.16,3.47,2.34,1.4,1.73
football,Champions League,Round 8,29/01/,PSG,Newcastle,1,1,1,g_1_KxXrUchC,1.59,4.86,5.12,2.52,1.07
football,Champions League,Round 8,29/01/,PSV,Bayern Munich,1,2,2,g_1_2gA2Bns9,4.85,4.59,1.65,0.61,1.97
football,Champions League,Round 8,29/01/,Royale Union SG,Atalanta,1,0,0,g_1_SWJOFy8r,3.09,3.67,2.3,1.0,0.83
football,Champions League,Round 7,22/01/,Atalanta,Ath Bilbao,2,3,2,g_1_8nwhLcpL,1.71,3.84,5.38,2.02,1.74
