sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Eredivisie,Round 21,02/02/,FC Volendam,G.A. Eagles,1,1,1,g_1_lKZrHln9,3.93,3.73,1.97,1.14,0.93
football,Eredivisie,Round 21,02/02/,Heerenveen,Utrecht,1,1,1,g_1_2kd24B23,1.76,4.04,4.68,1.75,0.84
football,Eredivisie,Round 21,01/02/,Heracles,Sittard,2,1,0,g_1_xWScgof2,2.34,3.49,3.17,2.3,0.58
football,Eredivisie,Round 21,01/02/,PSV,Feyenoord,3,0,0,g_1_l6fA2kXF,1.66,4.46,4.89,2.02,0.35
football,Eredivisie,Round 21,01/02/,Excelsior,Ajax,2,2,1,g_1_AZNiFSGL,4.14,3.93,1.87,0.77,0.73
football,Eredivisie,Round 21,01/02/,Sparta Rotterdam,Groningen,2,0,0,g_1_MgJFt8Ad,2.4,3.69,2.91,1.63,0.34
football,Eredivisie,Round 21,01/02/,Zwolle,Telstar,4,1,0,g_1_pYmJ0T1S,2.29,3.62,3.16,2.68,1.77
football,Eredivisie,Round 21,01/02/,AZ Alkmaar,Nijmegen,1,3,2,g_1_tIEN96vq,1.98,3.96,3.66,1.42,1.22
football,Eredivisie,Round 21,31/01/,NAC Breda,Twente,2,2,1,g_1_t4Zle7Pk,3.58,3.5,2.14,1.29,1.57
football,Eredivisie,Round 20,26/01/,Feyenoord,Heracles,4,2,0,g_1_0QkYTUQj,1.25,7.7,10.3,1.47,1.84
football,Eredivisie,Round 20,26/01/,Utrecht,Sparta Rotterdam,0,1,2,g_1_SWsKiYIc,0.0,0.0,0.0,1.33,0.59
football,Eredivisie,Round 20,25/01/,Groningen,Sittard,1,2,2,g_1_fqZzljIM,1.52,4.27,6.59,2.31,1.0
football,Eredivisie,Round 20,25/01/,Telstar,AZ Alkmaar,0,1,2,g_1_U1soueZi,3.48,3.56,2.17,1.02,1.07
football,Eredivisie,Round 20,25/01/,Twente,Excelsior,0,0,1,g_1_MVzTkCmA,1.3,6.08,10.6,1.34,0.91
football,Eredivisie,Round 20,25/01/,PSV,NAC Breda,2,2,1,g_1_2FugwZ34,1.41,5.33,7.49,1.76,1.46
football,Eredivisie,Round 20,25/01/,Nijmegen,Zwolle,2,1,0,g_1_8SAgyDYG,1.52,4.82,6.04,1.39,1.03
football,Eredivisie,Round 20,25/01/,Ajax,FC Volendam,2,0,0,g_1_ETF7rUup,1.31,5.92,9.2,3.24,0.32
football,Eredivisie,Round 16,22/01/,AZ Alkmaar,Excelsior,1,1,1,g_1_dGeMhK2b,1.36,5.64,8.64,2.16,1.05
football,Eredivisie,Round 19,19/01/,Feyenoord,Sparta Rotterdam,3,4,2,g_1_trtAwrbm,1.53,4.54,6.38,1.7,1.61
football,Eredivisie,Round 19,18/01/,FC Volendam,Utrecht,2,1,0,g_1_nuqIyMSa,4.4,3.76,1.86,0.49,1.11
football,Eredivisie,Round 19,18/01/,Heracles,Twente,0,2,2,g_1_U3CiL0rJ,6.43,4.57,1.53,0.73,2.53
football,Eredivisie,Round 19,18/01/,Heerenveen,Groningen,0,2,2,g_1_Q5WRQ4Es,1.94,3.46,4.45,1.59,1.93
football,Eredivisie,Round 19,18/01/,NAC Breda,Nijmegen,3,4,2,g_1_YyJrNMD6,2.58,3.61,2.74,0.93,1.19
football,Eredivisie,Round 19,18/01/,Excelsior,Telstar,2,2,1,g_1_8fXQZacC,2.3,3.46,3.26,1.58,1.83
football,Eredivisie,Round 19,18/01/,Sittard,PSV,1,2,2,g_1_Mcawq4zQ,5.34,4.82,1.57,0.38,2.78
football,Eredivisie,Round 19,18/01/,Zwolle,AZ Alkmaar,3,1,0,g_1_nLKzPrqf,5.86,4.73,1.54,1.78,0.63
football,Eredivisie,Round 19,18/01/,Ajax,G.A. Eagles,2,2,1,g_1_EgabHiso,1.65,4.06,5.61,3.14,0.94
football,Eredivisie,Round 18,12/01/,Sparta Rotterdam,Heracles,2,0,0,g_1_no4Rc6pe,1.84,3.76,4.5,2.46,0.41
football,Eredivisie,Round 18,11/01/,G.A. Eagles,Sittard,2,2,1,g_1_QiigC5al,1.85,3.98,4.19,1.63,1.06
football,Eredivisie,Round 18,11/01/,Telstar,Ajax,2,3,2,g_1_EX5JaSFr,4.01,3.97,1.89,0.76,1.74
football,Eredivisie,Round 18,11/01/,Heerenveen,Feyenoord,2,2,1,g_1_6mKSepF7,3.0,3.82,2.3,1.12,1.09
football,Eredivisie,Round 18,11/01/,Groningen,NAC Breda,0,0,1,g_1_vFc98NbD,1.68,3.88,5.65,1.83,0.82
football,Eredivisie,Round 18,11/01/,PSV,Excelsior,5,1,0,g_1_YgCEJm7E,1.18,8.24,16.3,2.64,0.68
football,Eredivisie,Round 18,11/01/,Twente,Zwolle,1,1,1,g_1_61a1AqU0,1.34,5.66,9.31,2.03,0.39
football,Eredivisie,Round 18,11/01/,AZ Alkmaar,FC Volendam,1,0,0,g_1_fNudWQjK,1.19,8.06,15.4,2.3,0.54
football,Eredivisie,Round 17,22/12/,FC Volendam,Sparta Rotterdam,0,1,2,g_1_6Rrhq7V1,2.94,3.78,2.35,0.92,2.7
football,Eredivisie,Round 17,22/12/,Sittard,AZ Alkmaar,4,3,0,g_1_6TNB3yHG,4.89,4.11,1.72,1.38,4.06
football,Eredivisie,Round 17,21/12/,Feyenoord,Twente,1,1,1,g_1_0UupoT0k,1.94,3.99,3.77,0.62,2.64
football,Eredivisie,Round 17,21/12/,G.A. Eagles,Groningen,1,1,1,g_1_YFP35cn4,3.6,3.6,2.1,1.15,1.27
football,Eredivisie,Round 17,21/12/,Utrecht,PSV,1,2,2,g_1_nNLv7AN8,4.19,4.08,1.83,1.34,1.38
football,Eredivisie,Round 17,21/12/,NAC Breda,Telstar,0,1,2,g_1_08hwkx2N,1.8,4.0,4.45,0.74,1.82
football,Eredivisie,Round 17,21/12/,Nijmegen,Ajax,2,2,1,g_1_ptU9qGPp,2.26,4.25,2.84,1.92,2.06
football,Eredivisie,Round 17,21/12/,Excelsior,Zwolle,2,1,0,g_1_fmPn5lhL,2.2,3.68,3.28,2.13,1.2
football,Eredivisie,Round 17,21/12/,Heracles,Heerenveen,0,3,2,g_1_xlWf7JHi,0.0,0.0,0.0,0.48,1.99
football,Eredivisie,Round 16,15/12/,NAC Breda,Utrecht,1,1,1,g_1_xCxbhjiI,2.8,3.45,2.61,1.43,0.67
football,Eredivisie,Round 16,14/12/,Ajax,Feyenoord,2,0,0,g_1_hrkVjbXA,3.26,4.07,2.09,1.27,1.91
football,Eredivisie,Round 16,14/12/,Twente,G.A. Eagles,2,0,0,g_1_pxt6jULU,1.46,4.75,7.55,3.61,0.33
football,Eredivisie,Round 16,14/12/,Sparta Rotterdam,Heerenveen,0,3,2,g_1_lUUubfNt,2.77,3.89,2.43,0.61,1.55
football,Eredivisie,Round 16,14/12/,Zwolle,Sittard,1,0,0,g_1_GdlkfCM5,2.49,3.68,2.8,1.6,0.92
football,Eredivisie,Round 16,14/12/,PSV,Heracles,4,3,0,g_1_8WpsdYig,1.11,13.8,16.5,3.28,2.77
football,Eredivisie,Round 16,14/12/,Groningen,FC Volendam,3,0,0,g_1_O2cEftYo,0.0,0.0,0.0,3.21,0.22
football,Eredivisie,Round 16,14/12/,Telstar,Nijmegen,2,2,1,g_1_YHfWwixP,3.25,4.11,2.09,1.83,2.8
football,Eredivisie,Round 15,08/12/,Sparta Rotterdam,NAC Breda,1,0,0,g_1_2iJikQv9,2.52,3.5,2.88,2.42,2.26
football,Eredivisie,Round 15,07/12/,AZ Alkmaar,G.A. Eagles,2,2,1,g_1_xj1NuD7C,1.33,6.01,8.88,2.0,1.54
football,Eredivisie,Round 15,07/12/,FC Volendam,Nijmegen,2,3,2,g_1_hp4ykHpQ,4.63,4.32,1.71,2.14,1.29
football,Eredivisie,Round 15,07/12/,Utrecht,Twente,1,1,1,g_1_8A96qe8m,2.41,3.59,2.97,0.82,1.54
football,Eredivisie,Round 15,07/12/,Feyenoord,Zwolle,6,1,0,g_1_xxMlRDhJ,1.19,8.89,12.9,3.4,0.97
football,Eredivisie,Round 15,07/12/,Heracles,Telstar,1,1,1,g_1_8dUXUegf,2.28,3.87,2.99,2.21,0.75
