sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Europa League,Round 8,30/01/,Aston Villa,Salzburg,3,2,0,g_1_dtgagL7e,0.0,0.0,0.0,1.55,2.22
football,Europa League,Round 8,30/01/,Basel,Plzen,0,1,2,g_1_67A6TD6M,2.0,3.99,3.58,0.82,1.04
football,Europa League,Round 8,30/01/,Betis,Feyenoord,2,1,0,g_1_t4qHtrOk,1.54,4.88,5.65,1.24,1.7
football,Europa League,Round 8,30/01/,Celtic,Utrecht,4,2,0,g_1_WUXov4Ks,1.46,4.87,7.18,2.66,0.41
football,Europa League,Round 8,30/01/,Crvena zvezda,Celta Vigo,1,1,1,g_1_b17t6J8b,2.38,3.62,3.0,1.0,1.29
football,Europa League,Round 8,30/01/,FC Porto,Rangers,3,1,0,g_1_8t2K6ysJ,1.25,6.79,12.5,1.6,0.42
football,Europa League,Round 8,30/01/,FCSB,Fenerbahce,1,1,1,g_1_CC5WiTml,6.41,4.44,1.54,1.77,1.55
football,Europa League,Round 8,30/01/,G.A. Eagles,Braga,0,0,1,g_1_4taE2p26,5.13,4.31,1.66,0.18,0.44
football,Europa League,Round 8,30/01/,Genk,Malmo FF,2,1,0,g_1_W6NkcbqA,1.36,5.6,8.65,3.26,0.53
football,Europa League,Round 8,30/01/,Lille,Freiburg,1,0,0,g_1_zeSM1kaM,1.99,3.68,3.88,1.62,0.63
football,Europa League,Round 8,30/01/,Ludogorets,Nice,1,0,0,g_1_YgdLOwwo,0.0,0.0,0.0,1.67,1.19
football,Europa League,Round 8,30/01/,Lyon,PAOK,4,2,0,g_1_rPmGJiel,2.54,3.39,2.92,2.52,0.65
football,Europa League,Round 8,30/01/,Maccabi Tel Aviv,Bologna,0,3,2,g_1_MFAcd3tQ,9.45,5.77,1.33,0.86,3.29
football,Europa League,Round 8,30/01/,Midtjylland,Din. Zagreb,2,0,0,g_1_YNmxfbcD,1.89,3.88,4.09,1.21,0.8
football,Europa League,Round 8,30/01/,Nottingham,Ferencvaros,4,0,0,g_1_KAztrDLF,1.6,4.02,6.44,2.88,0.65
football,Europa League,Round 8,30/01/,Panathinaikos,AS Roma,1,1,1,g_1_2P8Hs9jg,5.16,3.35,1.86,0.8,1.38
football,Europa League,Round 8,30/01/,Sturm Graz,Brann,1,0,0,g_1_riCQCqr4,2.82,3.28,2.69,0.85,2.29
football,Europa League,Round 8,30/01/,Stuttgart,Young Boys,3,2,0,g_1_pfZe5tJt,1.25,7.2,11.3,3.48,1.53
football,Europa League,Round 7,23/01/,AS Roma,Stuttgart,2,0,0,g_1_tAK8qVLt,2.17,3.49,3.54,1.0,1.65
football,Europa League,Round 7,23/01/,Braga,Nottingham,1,0,0,g_1_IqRQBluK,3.17,3.18,2.49,0.55,1.79
football,Europa League,Round 7,23/01/,Celta Vigo,Lille,2,1,0,g_1_vsEnIAq3,2.22,3.37,3.54,1.27,1.55
football,Europa League,Round 7,23/01/,Din. Zagreb,FCSB,4,1,0,g_1_QcpUeKS0,1.75,3.96,4.82,2.84,0.24
football,Europa League,Round 7,23/01/,Ferencvaros,Panathinaikos,1,1,1,g_1_hOYmtijS,2.5,3.17,3.17,1.49,0.73
football,Europa League,Round 7,23/01/,Nice,G.A. Eagles,3,1,0,g_1_WAD1EdJ8,2.06,4.01,3.39,2.42,1.78
football,Europa League,Round 7,23/01/,Rangers,Ludogorets,1,0,0,g_1_bkkcxZVA,1.91,3.93,3.93,1.43,0.97
football,Europa League,Round 7,23/01/,Salzburg,Basel,3,1,0,g_1_0h6BwIBt,2.29,3.97,2.93,1.63,0.37
football,Europa League,Round 7,23/01/,Utrecht,Genk,0,2,2,g_1_SYGbexEM,3.49,3.58,2.15,2.06,1.61
football,Europa League,Round 7,23/01/,Bologna,Celtic,2,2,1,g_1_SdRfxrkf,1.73,4.07,4.83,2.64,2.1
football,Europa League,Round 7,23/01/,Brann,Midtjylland,3,3,1,g_1_29xTcGHU,3.79,3.58,2.05,3.32,1.86
football,Europa League,Round 7,23/01/,Fenerbahce,Aston Villa,0,1,2,g_1_n9Uhjeen,2.53,3.58,2.81,1.08,1.69
football,Europa League,Round 7,23/01/,Feyenoord,Sturm Graz,3,0,0,g_1_KIIvkCFG,1.33,6.27,8.36,1.37,0.15
football,Europa League,Round 7,23/01/,Freiburg,Maccabi Tel Aviv,1,0,0,g_1_dxJBYalJ,1.28,6.69,10.3,2.45,0.17
football,Europa League,Round 7,23/01/,Malmo FF,Crvena zvezda,0,1,2,g_1_KGek4cwB,4.86,4.19,1.7,0.41,1.24
football,Europa League,Round 7,23/01/,PAOK,Betis,2,0,0,g_1_v1A3AJsf,2.18,3.55,3.45,2.9,0.73
football,Europa League,Round 7,23/01/,Plzen,FC Porto,1,1,1,g_1_6H5YwRkI,5.38,3.84,1.71,0.34,2.14
football,Europa League,Round 7,23/01/,Young Boys,Lyon,0,1,2,g_1_QHzUdFVp,4.45,4.0,1.8,0.86,0.6
football,Europa League,Round 6,12/12/,Basel,Aston Villa,1,2,2,g_1_Eyl2nDfB,4.57,4.3,1.73,0.88,0.48
football,Europa League,Round 6,12/12/,Brann,Fenerbahce,0,4,2,g_1_jwZvlomD,3.78,3.6,2.05,0.24,3.73
football,Europa League,Round 6,12/12/,Celta Vigo,Bologna,1,2,2,g_1_pja8pLa4,2.3,3.57,3.17,0.34,2.2
football,Europa League,Round 6,12/12/,Celtic,AS Roma,0,3,2,g_1_lICttdFl,0.0,0.0,0.0,1.33,1.47
football,Europa League,Round 6,12/12/,FC Porto,Malmo FF,2,1,0,g_1_2cCSYv8L,1.18,8.47,14.7,2.81,0.81
football,Europa League,Round 6,12/12/,FCSB,Feyenoord,4,3,0,g_1_tY6mmjpT,4.91,4.04,1.73,1.28,2.12
football,Europa League,Round 6,12/12/,Freiburg,Salzburg,1,0,0,g_1_6k9Jydtg,1.46,5.13,6.67,2.61,0.43
football,Europa League,Round 6,12/12/,Lyon,G.A. Eagles,2,1,0,g_1_IBNFKINi,1.25,7.58,10.6,3.06,0.47
football,Europa League,Round 6,12/12/,Panathinaikos,Plzen,0,0,1,g_1_b5koMVbd,2.31,3.39,3.29,1.35,0.35
football,Europa League,Round 6,12/12/,Din. Zagreb,Betis,1,3,2,g_1_0Eajeswq,4.09,3.73,1.93,0.77,1.86
football,Europa League,Round 6,12/12/,Ferencvaros,Rangers,2,1,0,g_1_xz1lve1b,1.74,4.19,4.6,1.71,1.15
football,Europa League,Round 6,12/12/,Ludogorets,PAOK,3,3,1,g_1_S0NvFEiT,3.9,3.49,2.05,2.19,3.4
football,Europa League,Round 6,12/12/,Midtjylland,Genk,1,0,0,g_1_MaUKaxmI,1.74,4.31,4.44,2.17,0.95
football,Europa League,Round 6,12/12/,Nice,Braga,0,1,2,g_1_2H2c6S2s,3.26,3.72,2.19,1.5,0.73
football,Europa League,Round 6,12/12/,Sturm Graz,Crvena zvezda,0,1,2,g_1_jy4Y7uvn,3.49,3.9,2.05,1.5,1.57
football,Europa League,Round 6,12/12/,Stuttgart,Maccabi Tel Aviv,4,1,0,g_1_6mnUjs4m,1.18,8.06,16.1,2.55,0.57
football,Europa League,Round 6,12/12/,Utrecht,Nottingham,1,2,2,g_1_AwEIE5Di,4.43,3.83,1.84,0.74,1.65
football,Europa League,Round 6,12/12/,Young Boys,Lille,1,0,0,g_1_jLXidTMq,5.16,4.33,1.65,1.66,0.83
football,Europa League,Round 5,28/11/,Betis,Utrecht,2,1,0,g_1_KKVxPIdm,0.0,0.0,0.0,1.94,0.77
football,Europa League,Round 5,28/11/,Bologna,Salzburg,4,1,0,g_1_zV0zYDuI,1.42,5.26,7.51,3.91,2.07
football,Europa League,Round 5,28/11/,Crvena zvezda,FCSB,1,0,0,g_1_xfcM0OWI,1.4,5.38,7.69,1.75,0.79
football,Europa League,Round 5,28/11/,G.A. Eagles,Stuttgart,0,4,2,g_1_EVjPtwaT,6.84,5.39,1.43,0.2,2.34
football,Europa League,Round 5,28/11/,Genk,Basel,2,1,0,g_1_EZQC1bI5,1.93,4.18,3.65,0.86,0.65
football,Europa League,Round 5,28/11/,Maccabi Tel Aviv,Lyon,0,6,2,g_1_GxnOHVP0,5.39,4.1,1.66,0.46,4.17
football,Europa League,Round 5,28/11/,Nottingham,Malmo FF,3,0,0,g_1_h2qY6gfo,1.33,5.66,9.77,2.2,0.06
football,Europa League,Round 5,28/11/,Panathinaikos,Sturm Graz,2,1,0,g_1_vJ5ZANCG,1.54,4.44,6.41,0.66,0.25
football,Europa League,Round 5,28/11/,Rangers,Braga,1,1,1,g_1_U9cttHWo,3.94,3.82,1.94,1.69,1.68
football,Europa League,Round 5,28/11/,AS Roma,Midtjylland,2,1,0,g_1_MVAlvzp1,0.0,0.0,0.0,0.84,0.73
football,Europa League,Round 5,28/11/,Aston Villa,Young Boys,2,1,0,g_1_6BpflZPb,1.19,8.95,12.8,2.18,0.38
football,Europa League,Round 5,28/11/,FC Porto,Nice,3,0,0,g_1_Mm4Kz1w9,1.57,4.61,5.64,1.48,0.95
football,Europa League,Round 5,28/11/,Fenerbahce,Ferencvaros,1,1,1,g_1_Auqoma3C,0.0,0.0,0.0,1.33,0.68
football,Europa League,Round 5,28/11/,Feyenoord,Celtic,1,3,2,g_1_ChFWjYp4,1.75,4.11,4.63,1.85,1.3
football,Europa League,Round 5,28/11/,Lille,Din. Zagreb,4,0,0,g_1_2JXPvMh2,1.42,5.13,7.7,3.19,0.15
football,Europa League,Round 5,28/11/,Ludogorets,Celta Vigo,3,2,0,g_1_MD9gEy2B,4.2,3.58,1.94,2.6,2.0
football,Europa League,Round 5,28/11/,PAOK,Brann,1,1,1,g_1_bqEA9hFj,1.58,4.28,6.11,1.2,1.84
football,Europa League,Round 5,28/11/,Plzen,Freiburg,0,0,1,g_1_n5f5VZyA,2.82,3.33,2.66,1.29,0.87
