sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Laliga2,Round 23,27/01/,Ceuta,Cultural Leonesa,3,1,0,2.11,3.3,3.63,g_1_CK3J0qOP,2.38,0.57
football,Laliga2,Round 24,03/02/,Mirandes,Malaga,2,1,0,3.34,2.97,2.41,g_1_WQwVCnDk,2.27,0.96
football,Laliga2,Round 24,02/02/,Granada CF,Racing Santander,1,0,0,2.53,3.23,2.89,g_1_d8Pn09Tq,1.2,0.48
football,Laliga2,Round 24,02/02/,Castellon,Andorra,2,0,0,1.48,4.58,6.36,g_1_EkZdkEV9,2.32,1.17
football,Laliga2,Round 24,02/02/,Huesca,Cadiz CF,1,0,0,2.41,3.14,3.14,g_1_pU5sMjj3,1.32,0.93
football,Laliga2,Round 24,02/02/,Eibar,Gijon,1,0,0,2.14,3.15,3.76,g_1_j9cFIHqB,0.5,0.72
football,Laliga2,Round 24,01/02/,Almeria,Ceuta,4,2,0,1.78,3.66,4.58,g_1_INDebmbd,3.33,2.12
football,Laliga2,Round 24,01/02/,Cordoba,Valladolid,3,1,0,1.94,3.58,3.89,g_1_W6sEKwFb,1.85,1.05
football,Laliga2,Round 24,01/02/,Cultural Leonesa,Dep. La Coruna,0,1,2,3.57,3.1,2.22,g_1_vTbjKUKF,0.76,2.74
football,Laliga2,Round 24,01/02/,Albacete,Zaragoza,2,0,0,0.0,0.0,0.0,g_1_KSDe2daU,1.64,0.64
football,Laliga2,Round 24,01/02/,Burgos CF,Leganes,2,1,0,2.28,2.83,3.84,g_1_bgq6Mapn,0.44,0.73
football,Laliga2,Round 24,31/01/,Real Sociedad B,Las Palmas,1,1,1,2.78,3.29,2.58,g_1_CtcbI8kS,0.64,0.44
football,Laliga2,Round 23,26/01/,Dep. La Coruna,Racing Santander,0,1,2,2.1,3.37,3.59,g_1_r3fkeNom,0.92,0.48
football,Laliga2,Round 23,26/01/,Zaragoza,Castellon,0,0,1,3.91,3.51,1.95,g_1_2DAO9M0t,0.34,1.3
football,Laliga2,Round 23,26/01/,Eibar,Almeria,1,0,0,2.32,3.33,3.13,g_1_jmMv6v05,2.91,0.71
football,Laliga2,Round 23,25/01/,Andorra,Huesca,1,1,1,0.0,0.0,0.0,g_1_SYzkiz1c,1.06,0.88
football,Laliga2,Round 23,25/01/,Cadiz CF,Granada CF,1,2,2,2.67,2.95,2.95,g_1_dCLWxtWI,2.54,2.49
football,Laliga2,Round 23,25/01/,Gijon,Mirandes,3,0,0,1.68,3.9,5.0,g_1_C2Am4IUH,2.13,0.89
football,Laliga2,Round 23,25/01/,Las Palmas,Cordoba,1,2,2,1.89,3.45,4.27,g_1_bu4X70Vh,0.85,3.17
football,Laliga2,Round 23,25/01/,Leganes,Real Sociedad B,2,0,0,1.91,3.33,4.36,g_1_4Irbg1Ga,2.68,0.36
football,Laliga2,Round 23,24/01/,Valladolid,Albacete,0,1,2,2.02,3.23,4.04,g_1_jZt6iuoC,0.47,1.27
football,Laliga2,Round 23,24/01/,Malaga,Burgos CF,3,0,0,1.93,3.14,4.62,g_1_n1zFkJFO,0.92,1.06
football,Laliga2,Round 22,20/01/,Granada CF,Eibar,0,0,1,2.35,3.03,3.37,g_1_MZQ7rp2s,0.87,0.21
football,Laliga2,Round 22,19/01/,Cordoba,Malaga,0,1,2,2.1,3.38,3.58,g_1_4rSlSOH0,0.93,0.55
football,Laliga2,Round 22,19/01/,Albacete,Cadiz CF,1,0,0,2.26,3.45,3.14,g_1_nuqGt3Fd,0.86,1.17
football,Laliga2,Round 22,19/01/,Burgos CF,Huesca,1,0,0,1.98,2.94,4.82,g_1_U380lFY2,1.49,1.35
football,Laliga2,Round 22,19/01/,Racing Santander,Las Palmas,4,1,0,2.2,3.29,3.41,g_1_UaUFtOWg,1.81,0.74
football,Laliga2,Round 22,18/01/,Mirandes,Andorra,1,2,2,2.68,3.26,2.68,g_1_nwb2TW8j,1.5,1.37
football,Laliga2,Round 22,18/01/,Almeria,Dep. La Coruna,1,2,2,2.01,3.49,3.74,g_1_x2kyl6vK,1.28,2.41
football,Laliga2,Round 22,18/01/,Zaragoza,Real Sociedad B,1,1,1,1.91,3.34,4.34,g_1_ObNOv216,0.97,1.58
football,Laliga2,Round 22,18/01/,Cultural Leonesa,Gijon,2,4,2,3.38,3.08,2.38,g_1_AeckQ2nD,1.63,2.2
football,Laliga2,Round 22,17/01/,Ceuta,Valladolid,0,3,2,2.58,3.03,2.98,g_1_WUTtUpml,1.78,2.34
football,Laliga2,Round 22,17/01/,Castellon,Leganes,2,0,0,1.58,4.38,5.3,g_1_xUB8ng3F,2.04,0.5
football,Laliga2,Round 21,13/01/,Huesca,Cordoba,1,2,2,2.66,2.94,2.98,g_1_t4VNHMtR,0.91,2.08
football,Laliga2,Round 21,12/01/,Granada CF,Castellon,0,0,1,3.11,3.26,2.36,g_1_hrkTeuK7,0.78,0.38
football,Laliga2,Round 21,12/01/,Malaga,Ceuta,2,1,0,2.08,3.35,3.65,g_1_KlsFJrCE,2.49,0.32
football,Laliga2,Round 21,11/01/,Leganes,Valladolid,3,0,0,2.14,3.11,3.8,g_1_6oHu5qcL,2.24,0.8
football,Laliga2,Round 21,11/01/,Racing Santander,Zaragoza,2,3,2,1.69,3.95,4.81,g_1_O2cCaNKr,2.14,2.03
football,Laliga2,Round 21,11/01/,Andorra,Cultural Leonesa,1,1,1,1.98,3.54,3.79,g_1_trt8rPpp,1.63,0.48
football,Laliga2,Round 21,11/01/,Burgos CF,Eibar,1,0,0,2.7,2.78,3.09,g_1_IPzoq2z2,0.89,0.46
football,Laliga2,Round 21,11/01/,Las Palmas,Dep. La Coruna,1,1,1,1.93,3.23,4.47,g_1_xlWhC04l,2.0,1.18
football,Laliga2,Round 21,11/01/,Real Sociedad B,Albacete,0,0,1,2.62,3.5,2.6,g_1_dGeKc1ke,0.62,1.65
football,Laliga2,Round 21,10/01/,Mirandes,Almeria,2,2,1,0.0,0.0,0.0,g_1_YFP1AvZ0,1.2,2.71
football,Laliga2,Round 21,10/01/,Cadiz CF,Gijon,3,2,0,2.71,3.07,2.88,g_1_bLDX65S8,2.31,3.4
football,Laliga2,Round 20,05/01/,Dep. La Coruna,Cadiz CF,2,2,1,1.76,3.76,4.59,g_1_baxcfSr3,0.95,0.69
football,Laliga2,Round 20,05/01/,Albacete,Leganes,1,3,2,2.46,3.15,3.15,g_1_APGTJo7j,2.19,1.85
football,Laliga2,Round 20,05/01/,Zaragoza,Las Palmas,1,2,2,3.0,2.95,2.63,g_1_fRV5h6DF,1.32,1.11
football,Laliga2,Round 20,05/01/,Ceuta,Andorra,2,1,0,2.08,3.54,3.46,g_1_McayloNM,2.53,1.57
football,Laliga2,Round 20,04/01/,Gijon,Malaga,1,3,2,1.89,3.43,4.32,g_1_SvUDjprS,1.48,1.62
football,Laliga2,Round 20,04/01/,Cordoba,Burgos CF,2,0,0,2.02,3.14,4.18,g_1_WhpBWOjd,2.34,1.42
football,Laliga2,Round 20,04/01/,Valladolid,Racing Santander,1,1,1,2.03,3.55,3.58,g_1_AaXxoO5k,0.6,1.2
football,Laliga2,Round 20,04/01/,Almeria,Granada CF,3,2,0,1.97,3.44,3.94,g_1_Awd2YpMq,1.28,2.24
football,Laliga2,Round 20,04/01/,Castellon,Huesca,4,1,0,1.51,4.14,6.73,g_1_QXbGskac,3.24,0.98
football,Laliga2,Round 20,03/01/,Cultural Leonesa,Real Sociedad B,1,1,1,1.83,3.46,4.58,g_1_fDjXw7bM,1.08,0.8
football,Laliga2,Round 20,03/01/,Eibar,Mirandes,2,1,0,1.57,3.78,6.72,g_1_bocOuTT9,2.53,0.76
football,Laliga2,Round 19,22/12/,Cadiz CF,Castellon,2,0,0,3.96,3.55,1.93,g_1_jgcRYKGP,1.3,1.83
football,Laliga2,Round 19,22/12/,Burgos CF,Zaragoza,1,1,1,2.0,3.0,4.56,g_1_OWjkR8cJ,0.52,1.46
football,Laliga2,Round 19,22/12/,Granada CF,Albacete,1,1,1,1.98,3.14,4.37,g_1_pGYMNf8O,2.82,1.78
football,Laliga2,Round 19,22/12/,Mirandes,Cordoba,1,2,2,3.34,3.29,2.23,g_1_df2utxOh,1.34,2.62
football,Laliga2,Round 19,22/12/,Real Sociedad B,Ceuta,1,3,2,2.82,3.03,2.72,g_1_0S8Wsbgt,1.6,2.54
football,Laliga2,Round 19,21/12/,Malaga,Almeria,2,1,0,2.89,3.26,2.51,g_1_QZgdxfNH,1.67,1.53
football,Laliga2,Round 19,21/12/,Las Palmas,Cultural Leonesa,4,0,0,1.72,3.44,5.56,g_1_4K5mvGh5,1.89,0.79
football,Laliga2,Round 19,21/12/,Leganes,Gijon,0,1,2,2.48,3.14,3.03,g_1_jHuEPGwC,0.91,1.02
football,Laliga2,Round 19,21/12/,Huesca,Racing Santander,1,1,1,2.56,3.26,2.81,g_1_rix6Rx9a,0.91,1.04
football,Laliga2,Round 19,20/12/,Andorra,Dep. La Coruna,1,0,0,2.74,3.32,2.58,g_1_lp1Tk7hA,1.37,0.97
football,Laliga2,Round 19,20/12/,Eibar,Valladolid,3,0,0,2.41,2.94,3.38,g_1_MylcTbvm,1.09,0.35
football,Laliga2,Round 18,16/12/,Castellon,Mirandes,3,1,0,1.35,5.04,8.64,g_1_2ZeCPeME,1.93,1.05
football,Laliga2,Round 18,15/12/,Ceuta,Las Palmas,1,1,1,2.88,3.04,2.66,g_1_ljfKNZjR,1.03,0.41
