sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Laliga,Round 21,27/01/,Girona,Getafe,1,1,1,2.14,3.09,4.16,g_1_2oKiOvaE,0.75,0.81
football,Laliga,Round 22,03/02/,Mallorca,Sevilla,4,1,0,2.75,3.06,2.93,g_1_27eSzIrK,2.64,1.13
football,Laliga,Round 22,02/02/,Ath Bilbao,Real Sociedad,1,1,1,0.0,0.0,0.0,g_1_EoFXEzM0,0.96,1.66
football,Laliga,Round 22,02/02/,Getafe,Celta Vigo,0,0,1,3.06,2.93,2.77,g_1_8K2YW8sn,0.43,0.18
football,Laliga,Round 22,02/02/,Betis,Valencia,2,1,0,1.83,3.46,5.09,g_1_MBIuDEjD,1.88,1.91
football,Laliga,Round 22,01/02/,Real Madrid,Rayo Vallecano2,2,1,0,1.24,7.2,11.9,g_1_GjkkTQtB,2.21,1.03
football,Laliga,Round 22,01/02/,Elche,Barcelona,1,3,2,8.7,6.39,1.32,g_1_runNPizJ,1.0,6.44
football,Laliga,Round 22,01/02/,Levante,Atl. Madrid,0,0,1,5.32,3.84,1.72,g_1_nDhERD56,0.37,0.85
football,Laliga,Round 22,01/02/,Osasuna,Villarreal,2,2,1,2.76,3.38,2.69,g_1_YknbVe6s,1.37,0.92
football,Laliga,Round 22,31/01/,Oviedo,Girona,1,0,0,3.01,3.09,2.67,g_1_UZjsVnCb,1.4,0.65
football,Laliga,Round 22,31/01/,Espanyol,Alaves,1,2,2,1.96,3.14,4.96,g_1_Eaf6TZzf,0.67,1.74
football,Laliga,Round 21,26/01/,Alaves,Betis,2,1,0,2.85,3.08,2.81,g_1_QRDI5BRk,1.32,1.26
football,Laliga,Round 21,26/01/,Real Sociedad,Celta Vigo,3,1,0,2.2,3.38,3.58,g_1_8Szk4J7r,1.61,1.6
football,Laliga,Round 21,26/01/,Barcelona,Oviedo,3,0,0,1.12,10.9,21.0,g_1_GUeAB1F8,2.08,0.48
football,Laliga,Round 21,25/01/,Atl. Madrid,Mallorca,3,0,0,1.33,5.56,10.1,g_1_bgRP3kd2,1.47,0.46
football,Laliga,Round 21,25/01/,Villarreal,Real Madrid,0,2,2,4.09,4.1,1.84,g_1_fqaWGdil,0.57,1.64
football,Laliga,Round 21,25/01/,Sevilla,Ath Bilbao,2,1,0,0.0,0.0,0.0,g_1_lrfI9upL,2.07,2.15
football,Laliga,Round 21,25/01/,Valencia,Espanyol,3,2,0,2.45,3.17,3.26,g_1_zuS50y77,2.29,1.4
football,Laliga,Round 21,24/01/,Rayo Vallecano,Osasuna,1,3,2,2.27,3.2,3.61,g_1_bDD0MITQ,0.76,1.22
football,Laliga,Round 21,24/01/,Levante,Elche,3,2,0,0.0,0.0,0.0,g_1_EPwc2cxe,2.61,0.64
football,Laliga,Round 20,20/01/,Elche,Sevilla,2,2,1,2.42,3.16,3.31,g_1_GUunFObn,1.54,3.01
football,Laliga,Round 20,19/01/,Real Sociedad,Barcelona,2,1,0,0.0,0.0,0.0,g_1_YTYwDgZF,1.01,3.68
football,Laliga,Round 20,19/01/,Celta Vigo,Rayo Vallecano,3,0,0,1.92,3.33,4.79,g_1_ETmqeLDU,1.87,1.11
football,Laliga,Round 20,19/01/,Atl. Madrid,Alaves,1,0,0,1.4,4.85,9.14,g_1_p8hqiCCd,1.78,0.85
football,Laliga,Round 20,18/01/,Getafe,Valencia,0,1,2,2.58,2.8,3.49,g_1_pAX2BtbB,0.62,0.89
football,Laliga,Round 20,18/01/,Betis,Villarreal,2,0,0,2.56,3.58,2.77,g_1_tGkycsqI,1.07,1.02
football,Laliga,Round 20,18/01/,Osasuna,Oviedo,3,2,0,1.77,3.58,5.37,g_1_j9azgYsp,1.37,1.33
football,Laliga,Round 20,18/01/,Mallorca,Ath Bilbao,3,2,0,3.91,3.09,2.22,g_1_x2uVEF43,2.79,2.08
football,Laliga,Round 20,17/01/,Real Madrid,Levante,2,0,0,1.14,10.5,17.6,g_1_tfxnBX3S,2.88,0.8
football,Laliga,Round 20,17/01/,Espanyol,Girona,0,2,2,1.94,3.47,4.42,g_1_OfqfD2Tb,1.06,1.96
football,Laliga,Round 19,13/01/,Sevilla,Celta Vigo,0,1,2,2.75,3.16,2.85,g_1_t2A2rrUO,0.27,1.63
football,Laliga,Round 19,12/01/,Levante,Espanyol,1,1,1,3.46,3.39,2.23,g_1_xOhK0Pqg,1.11,1.36
football,Laliga,Round 19,11/01/,Rayo Vallecano,Mallorca,2,1,0,1.94,3.26,4.83,g_1_pldSb3E5,2.36,0.72
football,Laliga,Round 19,11/01/,Valencia,Elche,1,1,1,2.05,3.28,4.2,g_1_G84B2oFt,1.94,0.18
football,Laliga,Round 19,11/01/,Girona,Osasuna,1,0,0,2.61,3.27,2.94,g_1_6Lw7g8xQ,0.65,1.4
football,Laliga,Round 19,11/01/,Villarreal,Alaves,3,1,0,1.49,4.6,7.16,g_1_GfPxln0m,1.5,0.94
football,Laliga,Round 19,10/01/,Oviedo,Betis,1,1,1,4.2,3.53,1.97,g_1_pzHgp4aC,1.24,2.23
football,Laliga,Round 19,10/01/,Getafe,Real Sociedad,1,2,2,3.58,3.07,2.35,g_1_QP0KV4pJ,0.27,1.56
football,Laliga,Round 18,05/01/,Real Sociedad,Atl. Madrid,1,1,1,4.04,3.9,1.9,g_1_zHuMM91l,1.73,1.24
football,Laliga,Round 18,05/01/,Alaves,Oviedo,1,1,1,1.99,2.85,5.62,g_1_zq2gLdQq,1.83,2.43
football,Laliga,Round 18,05/01/,Mallorca,Girona,1,2,2,2.34,3.16,3.47,g_1_lK5ey9Gs,1.26,1.51
football,Laliga,Round 18,05/01/,Real Madrid,Betis,5,1,0,1.5,4.69,6.5,g_1_4dXxJR0D,2.94,1.05
