sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Ligue 2,Round 20,27/01/,Le Mans,Dunkerque,1,0,0,g_1_I3urTYd2,2.64,2.99,2.94,1.53,1.23
football,Ligue 2,Round 21,01/02/,St Etienne,Boulogne,0,1,2,g_1_2ZyRvbhn,1.46,4.8,6.35,0.19,1.04
football,Ligue 2,Round 21,31/01/,Dunkerque,Annecy,0,1,2,g_1_042ERtwe,2.19,2.98,3.84,0.52,0.57
football,Ligue 2,Round 21,31/01/,Troyes,Le Mans,0,2,2,g_1_phxIo2UQ,2.14,3.32,3.53,1.69,0.88
football,Ligue 2,Round 21,31/01/,Bastia,Nancy,0,0,1,g_1_dWeNPK77,2.26,3.1,3.46,1.46,0.87
football,Ligue 2,Round 21,31/01/,Clermont,Reims,0,1,2,g_1_E7Smtthl,4.36,3.51,1.86,0.46,1.54
football,Ligue 2,Round 21,31/01/,Grenoble,Amiens,2,1,0,g_1_lQr9mOaE,2.07,3.18,3.92,1.49,0.45
football,Ligue 2,Round 21,31/01/,Laval,Pau FC,0,1,2,g_1_Sxk7T28r,3.28,3.38,2.22,0.89,0.81
football,Ligue 2,Round 21,31/01/,Montpellier,Guingamp,3,1,0,g_1_rmK4xbiD,2.46,3.21,2.99,2.49,1.38
football,Ligue 2,Round 21,31/01/,Rodez,Red Star,1,1,1,g_1_r5DzZOpL,2.78,3.39,2.52,1.05,0.99
football,Ligue 2,Round 20,25/01/,Reims,St Etienne,1,0,0,g_1_tbvSzQbB,2.1,3.48,3.48,0.42,1.2
football,Ligue 2,Round 20,24/01/,Guingamp,Troyes,1,0,0,g_1_dWuaTsio,2.64,3.02,2.76,0.97,0.66
football,Ligue 2,Round 20,24/01/,Red Star,Boulogne,2,2,1,g_1_bLBGKf7U,0.0,0.0,0.0,1.79,1.26
football,Ligue 2,Round 20,24/01/,Amiens,Laval,0,0,1,g_1_OxYpioqh,2.71,2.99,2.86,1.23,0.87
football,Ligue 2,Round 20,24/01/,Annecy,Clermont,2,1,0,g_1_pjszVfSk,1.98,3.36,4.03,2.58,0.7
football,Ligue 2,Round 20,24/01/,Bastia,Montpellier,0,2,2,g_1_EBxzZ3TN,2.66,3.13,2.81,0.9,2.01
football,Ligue 2,Round 20,24/01/,Nancy,Rodez,1,3,2,g_1_hIP1m3rH,2.08,3.51,3.51,2.59,2.09
football,Ligue 2,Round 20,24/01/,Pau FC,Grenoble,2,2,1,g_1_phMgkPD4,1.73,3.72,4.9,3.07,0.49
football,Ligue 2,Round 19,20/01/,Nancy,Guingamp,0,3,2,g_1_C47xQ8pg,2.68,3.26,2.68,0.22,1.3
