sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Premier League,Round 23,27/01/,Everton,Leeds,1,1,1,2.46,3.28,3.13,g_1_neRXKc8l,0.69,1.37
football,Premier League,Round 24,03/02/,Sunderland,Burnley,3,0,0,1.92,3.38,4.68,g_1_M7x6tWzP,1.2,0.06
football,Premier League,Round 24,02/02/,Tottenham,Manchester City,2,2,1,5.17,4.19,1.67,g_1_CWHF0ZLt,1.05,2.08
football,Premier League,Round 24,01/02/,Aston Villa,Brentford,0,1,2,2.29,3.48,3.26,g_1_YBkFXzhf,2.41,0.37
football,Premier League,Round 24,01/02/,Manchester Utd,Fulham,3,2,0,1.57,4.85,5.36,g_1_hSpkpEy0,1.79,1.94
football,Premier League,Round 24,01/02/,Nottingham,Crystal Palace,1,1,1,2.07,3.36,4.01,g_1_Quqcrh6C,0.49,1.9
football,Premier League,Round 24,01/02/,Liverpool,Newcastle,4,1,0,1.63,4.46,5.14,g_1_bTitnz7m,2.28,0.36
football,Premier League,Round 24,01/02/,Chelsea,West Ham,3,2,0,1.62,4.41,5.42,g_1_nkONThiJ,2.7,1.12
football,Premier League,Round 24,01/02/,Brighton,Everton,1,1,1,1.96,3.6,4.11,g_1_vPKFVEM6,1.44,1.2
football,Premier League,Round 24,01/02/,Leeds,Arsenal,0,4,2,6.0,4.3,1.58,g_1_Sp1AidqQ,0.15,2.19
football,Premier League,Round 24,01/02/,Wolves,Bournemouth,0,2,2,2.93,3.56,2.45,g_1_Yo6ObDjg,1.38,1.36
football,Premier League,Round 23,26/01/,Arsenal,Manchester Utd,2,3,2,1.58,4.58,5.52,g_1_YqgQO69M,1.19,0.71
football,Premier League,Round 23,25/01/,Brentford,Nottingham,0,2,2,1.84,3.66,4.69,g_1_4YS4HO1d,1.81,0.78
football,Premier League,Round 23,25/01/,Crystal Palace,Chelsea,1,3,2,3.7,3.58,2.08,g_1_hf9aw6OF,1.77,2.2
football,Premier League,Round 23,25/01/,Newcastle,Aston Villa,0,2,2,0.0,0.0,0.0,g_1_tEAzuJaK,2.18,1.15
football,Premier League,Round 23,25/01/,Bournemouth,Liverpool,3,2,0,4.59,4.11,1.76,g_1_IHUdJpXq,2.34,0.93
football,Premier League,Round 23,25/01/,Burnley,Tottenham,2,2,1,4.18,3.46,1.99,g_1_KtBiuSg3,1.44,2.05
football,Premier League,Round 23,25/01/,Fulham,Brighton,2,1,0,2.62,3.39,2.83,g_1_hhUuJyw1,1.05,1.59
football,Premier League,Round 23,25/01/,Manchester City,Wolves,2,0,0,1.32,5.88,9.69,g_1_E7IlHF7D,0.86,0.61
football,Premier League,Round 23,24/01/,West Ham,Sunderland,3,1,0,0.0,0.0,0.0,g_1_0bi7ZdNs,1.52,0.67
football,Premier League,Round 22,20/01/,Brighton,Bournemouth,1,1,1,1.94,3.82,3.97,g_1_MBSHcUAN,1.02,1.28
football,Premier League,Round 22,19/01/,Aston Villa,Everton,0,1,2,1.62,3.97,6.16,g_1_QqZ8ajtB,1.44,0.5
football,Premier League,Round 22,18/01/,Wolves,Newcastle,0,0,1,4.92,4.11,1.71,g_1_QJkIQSvA,0.28,0.94
football,Premier League,Round 22,18/01/,Nottingham,Arsenal,0,0,1,6.0,4.1,1.61,g_1_YVDiA7fT,0.34,2.1
football,Premier League,Round 22,18/01/,Chelsea,Brentford,2,0,0,1.85,3.82,4.4,g_1_IsEmh8Yp,1.59,1.52
football,Premier League,Round 22,18/01/,Leeds,Fulham,1,0,0,2.4,3.48,3.06,g_1_dQISFBQi,1.43,0.38
football,Premier League,Round 22,18/01/,Liverpool,Burnley,1,1,1,1.25,6.79,12.5,g_1_4jMzEke4,3.19,0.4
football,Premier League,Round 22,18/01/,Sunderland,Crystal Palace,2,1,0,2.45,3.26,3.17,g_1_xb9N4oIj,1.71,0.61
football,Premier League,Round 22,18/01/,Tottenham,West Ham,1,2,2,1.91,3.87,4.02,g_1_Uid9SlAc,1.45,2.84
football,Premier League,Round 22,17/01/,Manchester Utd,Manchester City,2,0,0,3.17,3.69,2.25,g_1_Q5AqCTPG,2.27,0.45
football,Premier League,Round 21,09/01/,Arsenal,Liverpool,0,0,1,1.63,4.19,5.55,g_1_SC5rmMjl,0.57,0.31
football,Premier League,Round 21,08/01/,Burnley,Manchester Utd,2,2,1,5.12,3.99,1.71,g_1_AZ3Bject,0.24,2.54
football,Premier League,Round 21,08/01/,Newcastle,Leeds,4,3,0,1.63,3.96,6.1,g_1_d4sh3Ytn,2.43,1.89
football,Premier League,Round 21,08/01/,Bournemouth,Tottenham,3,2,0,2.3,3.61,3.14,g_1_Ovaio0L0,1.26,1.24
football,Premier League,Round 21,08/01/,Brentford,Sunderland,3,0,0,2.01,3.39,4.22,g_1_W42aqvjD,3.25,1.72
football,Premier League,Round 21,08/01/,Crystal Palace,Aston Villa,0,0,1,3.16,3.48,2.34,g_1_r1HIlZRh,1.5,1.74
football,Premier League,Round 21,08/01/,Everton2,Wolves,1,1,1,1.9,3.59,4.44,g_1_vTARnDd5,0.89,0.73
football,Premier League,Round 21,08/01/,Fulham,Chelsea,2,1,0,4.03,3.58,1.98,g_1_Ct9ZpiRH,1.2,2.39
football,Premier League,Round 21,08/01/,Manchester City,Brighton,1,1,1,1.52,4.64,6.31,g_1_882rqVeU,2.55,1.15
football,Premier League,Round 21,07/01/,West Ham,Nottingham,1,2,2,2.81,3.58,2.53,g_1_IJV01CBb,0.95,1.38
football,Premier League,Round 20,05/01/,Manchester City,Chelsea,1,1,1,1.51,5.12,5.8,g_1_lMp9YMye,1.02,1.85
football,Premier League,Round 20,05/01/,Fulham,Liverpool,2,2,1,4.36,3.85,1.85,g_1_byvxt5qL,0.74,1.37
football,Premier League,Round 20,05/01/,Everton,Brentford,2,4,2,2.48,3.24,3.14,g_1_QNuUsRE8,0.88,2.65
football,Premier League,Round 20,05/01/,Newcastle,Crystal Palace,2,0,0,1.68,4.19,5.11,g_1_AyZHW067,2.08,0.7
football,Premier League,Round 20,05/01/,Tottenham,Sunderland,1,1,1,2.0,3.58,3.99,g_1_xrR3f4bE,1.19,0.44
football,Premier League,Round 20,04/01/,Leeds,Manchester Utd,1,1,1,3.05,3.27,2.52,g_1_tds1zq7r,0.9,1.59
football,Premier League,Round 20,04/01/,Bournemouth,Arsenal,2,3,2,6.53,4.61,1.51,g_1_0M7yxyRk,1.44,1.13
football,Premier League,Round 20,04/01/,Brighton,Burnley,2,0,0,1.48,4.62,7.18,g_1_8nBqzFe2,1.45,0.3
football,Premier League,Round 20,04/01/,Wolves,West Ham,3,0,0,2.84,3.5,2.54,g_1_WtKChrTQ,1.87,0.25
football,Premier League,Round 20,03/01/,Aston Villa,Nottingham,3,1,0,1.91,3.6,4.37,g_1_GlW4sc3S,1.59,0.89
football,Premier League,Round 19,02/01/,Brentford,Tottenham,0,0,1,2.58,3.56,2.77,g_1_EqdmT6rI,0.92,0.86
football,Premier League,Round 19,02/01/,Sunderland,Manchester City,0,0,1,7.56,5.08,1.43,g_1_SEKlou43,0.88,2.24
football,Premier League,Round 19,02/01/,Crystal Palace,Fulham,1,1,1,2.17,3.33,3.71,g_1_844FWukA,1.93,1.76
football,Premier League,Round 19,02/01/,Liverpool,Leeds,0,0,1,1.48,4.54,7.52,g_1_UJhOUJJM,2.07,0.69
