sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Serie A,Round 22,27/01/,Verona,Udinese,1,3,2,g_1_WriaPWhg,2.98,2.98,2.78,0.87,1.69
football,Serie A,Round 23,03/02/,Udinese,AS Roma,1,0,0,g_1_roesNqqT,4.72,3.28,1.94,0.54,0.74
football,Serie A,Round 23,02/02/,Parma,Juventus,1,4,2,g_1_8hYPSmFi,8.69,4.6,1.43,0.62,4.14
football,Serie A,Round 23,02/02/,Cremonese,Inter,0,2,2,g_1_ll1aCSUA,14.6,6.3,1.25,0.72,1.41
football,Serie A,Round 23,01/02/,Como,Atalanta,0,0,1,g_1_SYCjEl0b,2.38,3.3,3.25,5.05,0.52
football,Serie A,Round 23,01/02/,Torino,Lecce,1,0,0,g_1_MV6YO5EG,2.16,2.98,4.32,1.81,0.64
football,Serie A,Round 23,01/02/,Cagliari,Verona,4,0,0,g_1_MyArGAVo,2.16,3.1,4.08,1.74,0.45
football,Serie A,Round 23,01/02/,Napoli,Fiorentina,2,1,0,g_1_Gbov5pNp,1.94,3.31,4.72,1.73,1.23
football,Serie A,Round 23,31/01/,Pisa,Sassuolo,1,3,2,g_1_E53QQRq4,3.17,3.17,2.5,1.06,2.26
football,Serie A,Round 23,31/01/,Lazio,Genoa,3,2,0,g_1_dE47A6aN,2.28,2.86,4.13,2.12,1.76
football,Serie A,Round 22,26/01/,AS Roma,AC Milan,1,1,1,g_1_K4Nt7kwP,2.94,2.98,2.82,2.73,0.44
football,Serie A,Round 22,26/01/,Juventus,Napoli,3,0,0,g_1_jPVPAXw0,1.98,3.23,4.67,1.49,0.51
football,Serie A,Round 22,25/01/,Atalanta,Parma,4,0,0,g_1_dhalBtYr,1.37,5.02,10.0,4.19,1.65
football,Serie A,Round 22,25/01/,Genoa,Bologna,3,2,0,g_1_4GepV1PE,3.34,3.08,2.46,0.53,0.55
football,Serie A,Round 22,25/01/,Sassuolo,Cremonese,1,0,0,g_1_AT2jRhOt,2.05,3.37,4.09,1.06,0.65
football,Serie A,Round 22,25/01/,Lecce,Lazio,0,0,1,g_1_OxUX8B8C,5.18,3.01,1.98,0.59,0.39
football,Serie A,Round 22,25/01/,Fiorentina,Cagliari,1,2,2,g_1_OKIc7bX7,1.81,3.69,4.85,2.03,1.28
football,Serie A,Round 22,24/01/,Como,Torino,6,0,0,g_1_GfFk9K2e,1.54,4.18,6.97,2.88,0.48
football,Serie A,Round 22,24/01/,Inter,Pisa,6,2,0,g_1_AFNHCg9m,1.28,6.27,11.5,5.07,0.35
football,Serie A,Round 21,20/01/,Lazio,Como,0,3,2,g_1_IwdS5od3,2.98,2.96,2.79,0.29,2.31
football,Serie A,Round 21,20/01/,Cremonese,Verona,0,0,1,g_1_2VDurr4d,2.48,3.09,3.3,0.7,0.5
