sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Serie B,Round 22,02/02/,Padova,Monza,1,2,2,g_1_WxlQ14WO,4.86,3.68,1.74,2.46,1.37
football,Serie B,Round 22,01/02/,Reggiana,Juve Stabia,1,1,1,g_1_2ByrKong,3.55,2.92,2.34,1.37,0.74
football,Serie B,Round 22,01/02/,Sampdoria,Spezia,1,0,0,g_1_OQPjIPG5,2.23,3.04,3.64,0.59,0.9
football,Serie B,Round 22,01/02/,Pescara,Mantova,2,2,1,g_1_A3JzM7Ht,1.97,3.63,3.73,1.12,1.72
football,Serie B,Round 22,31/01/,Avellino,Cesena,3,1,0,g_1_Gtb1782m,3.1,3.1,2.45,1.62,1.08
football,Serie B,Round 22,31/01/,Empoli,Modena,0,0,1,g_1_bPkI3Q1C,3.46,3.26,2.19,0.52,0.87
football,Serie B,Round 22,31/01/,Entella,Frosinone,1,1,1,g_1_IoYILbNc,2.67,3.3,2.67,2.0,1.02
football,Serie B,Round 22,31/01/,Sudtirol,Catanzaro,2,1,0,g_1_WjTbG3oI,2.24,2.95,3.76,0.43,1.23
football,Serie B,Round 22,31/01/,Venezia,Carrarese,2,1,0,g_1_QioXceVj,1.38,5.07,7.6,2.08,0.69
football,Serie B,Round 22,31/01/,Bari,Palermo,0,3,2,g_1_2cd95nXa,5.31,3.34,1.77,0.35,3.15
football,Serie B,Round 21,26/01/,Catanzaro,Sampdoria,0,0,1,g_1_G6shtW3l,2.57,3.02,3.02,1.38,0.78
football,Serie B,Round 21,25/01/,Sudtirol,Padova,3,0,0,g_1_W8MUCUvQ,1.94,3.15,4.57,3.04,1.04
football,Serie B,Round 21,25/01/,Spezia,Avellino,1,0,0,g_1_42UrkRnJ,2.09,3.31,3.67,1.03,0.46
football,Serie B,Round 21,25/01/,Modena,Palermo,0,0,1,g_1_zNxSh9mf,2.3,3.17,3.32,0.32,0.29
football,Serie B,Round 21,24/01/,Cesena,Bari,1,2,2,g_1_MJChvAY0,1.65,3.69,5.74,1.18,0.5
football,Serie B,Round 21,24/01/,Frosinone,Reggiana,1,0,0,g_1_UqG0xl3D,1.72,3.83,4.79,1.26,1.23
football,Serie B,Round 21,24/01/,Juve Stabia,Entella,1,0,0,g_1_Augm0ieK,2.12,3.13,3.83,1.44,0.52
football,Serie B,Round 21,24/01/,Mantova,Venezia,2,5,2,g_1_tOqJfVIs,5.37,3.83,1.65,0.47,2.61
football,Serie B,Round 21,24/01/,Monza,Pescara,3,0,0,g_1_8zyzimI6,1.4,4.82,7.61,1.01,1.48
football,Serie B,Round 21,24/01/,Carrarese,Empoli,3,0,0,g_1_KzdMohtR,2.37,3.23,3.13,1.51,0.86
football,Serie B,Round 20,19/01/,Palermo,Spezia,1,0,0,g_1_zk1xn1zA,1.7,3.61,5.28,1.86,0.83
football,Serie B,Round 20,18/01/,Pescara,Modena,0,2,2,g_1_UkJAThKr,4.15,3.8,1.83,0.7,2.62
football,Serie B,Round 20,18/01/,Bari,Juve Stabia,0,1,2,g_1_Gvo3X1LG,3.35,2.84,2.49,0.24,2.57
football,Serie B,Round 20,18/01/,Reggiana,Cesena,1,2,2,g_1_zmMIRWle,3.83,3.13,2.12,1.33,1.8
football,Serie B,Round 20,17/01/,Avellino,Carrarese,1,2,2,g_1_8EseZNj4,2.27,3.13,3.43,0.65,0.78
football,Serie B,Round 20,17/01/,Empoli,Sudtirol,0,1,2,g_1_xfZBVujT,0.0,0.0,0.0,0.45,0.23
football,Serie B,Round 20,17/01/,Monza,Frosinone,2,2,1,g_1_nTKsQJDj,1.88,3.44,4.39,1.49,1.11
football,Serie B,Round 20,17/01/,Padova,Mantova,1,2,2,g_1_2y3UmN5c,2.35,3.1,3.3,1.12,1.55
football,Serie B,Round 20,17/01/,Venezia,Catanzaro,3,1,0,g_1_O82DmEBE,1.52,4.25,6.32,3.58,0.26
football,Serie B,Round 20,17/01/,Sampdoria,Entella,1,1,1,g_1_d2ARPAJ7,1.93,3.14,4.62,0.54,0.39
football,Serie B,Round 19,12/01/,Padova,Modena,2,0,0,g_1_EHPZEKhL,4.84,3.16,1.89,1.08,2.0
football,Serie B,Round 19,11/01/,Mantova,Palermo,1,1,1,g_1_t4RRGtO8,4.03,3.47,1.94,0.3,2.04
football,Serie B,Round 19,11/01/,Cesena,Empoli,0,1,2,g_1_EaEaD7HG,1.95,3.26,4.3,2.02,1.8
football,Serie B,Round 19,11/01/,Juve Stabia,Pescara,2,2,1,g_1_tEUugwW1,1.68,3.62,5.54,2.26,1.13
football,Serie B,Round 19,10/01/,Avellino,Sampdoria,2,1,0,g_1_nXfjHkIi,3.4,3.03,2.34,0.75,1.74
football,Serie B,Round 19,10/01/,Carrarese,Bari,1,0,0,g_1_6ZAiFTn4,2.17,2.92,4.03,2.26,1.23
football,Serie B,Round 19,10/01/,Entella,Monza,1,0,0,g_1_2sbN5GF7,3.97,3.36,1.98,1.38,1.1
football,Serie B,Round 19,10/01/,Frosinone,Catanzaro,2,0,0,g_1_YmRXfa1k,2.11,3.31,3.61,1.39,0.77
football,Serie B,Round 19,10/01/,Reggiana,Venezia,1,3,2,g_1_Y1669bGr,5.85,4.17,1.56,1.61,2.33
football,Serie B,Round 19,10/01/,Sudtirol,Spezia,2,1,0,g_1_tS9E7xoe,2.21,3.11,3.61,0.7,1.37
football,Serie B,Round 18,28/12/,Bari,Avellino,1,1,1,g_1_d0LT7QNt,2.38,3.02,3.32,1.33,0.68
football,Serie B,Round 18,28/12/,Palermo,Padova,1,0,0,g_1_6DZG2j3b,1.59,3.95,5.83,1.28,0.82
football,Serie B,Round 18,27/12/,Carrarese,Mantova,0,0,1,g_1_IF9x64hg,0.0,0.0,0.0,1.1,0.64
football,Serie B,Round 18,27/12/,Catanzaro,Cesena,2,0,0,g_1_jsNq4rN5,2.48,3.03,3.14,1.98,0.58
football,Serie B,Round 18,27/12/,Empoli,Frosinone,1,1,1,g_1_n9Gh2MiI,0.0,0.0,0.0,0.94,1.36
football,Serie B,Round 18,27/12/,Juve Stabia,Sudtirol,1,0,0,g_1_KME000MU,2.11,3.03,4.03,0.77,0.79
football,Serie B,Round 18,27/12/,Sampdoria,Reggiana,2,1,0,g_1_SSNP0UXA,1.83,3.5,4.5,1.07,1.59
football,Serie B,Round 18,27/12/,Venezia,Entella,1,0,0,g_1_fw84gnQp,1.51,4.03,7.05,1.39,0.65
football,Serie B,Round 18,27/12/,Spezia,Pescara,2,1,0,g_1_zgRXb82N,1.86,3.65,4.16,1.62,1.02
