sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,2 Bundesliga 2023 2024,Regular Season,29/05/,Wehen,RegensburgWinner,1,2,2,g_1_0pW8jp3d,1.88,3.6,3.88,1.54,1.68
football,2 Bundesliga 2023 2024,Regular Season,25/05/,Regensburg,Wehen,2,2,1,g_1_hKS0h6Yq,2.51,3.45,2.74,0.74,1.83
football,2 Bundesliga 2023 2024,Round 34,19/05/,Dusseldorf,Magdeburg,3,2,0,g_1_IymNbXwC,1.86,4.23,3.82,3.28,1.64
football,2 Bundesliga 2023 2024,Round 34,19/05/,Elversberg,Karlsruher SC,0,3,2,g_1_ARXxGY8n,2.97,4.02,2.22,0.58,3.09
football,2 Bundesliga 2023 2024,Round 34,19/05/,Greuther Furth,Schalke,2,0,0,g_1_jsi6LfoP,1.98,3.78,3.77,2.45,0.97
football,2 Bundesliga 2023 2024,Round 34,19/05/,Hamburger SV,Nurnberg,4,1,0,g_1_volJaDO5,1.28,7.69,8.2,3.25,1.54
football,2 Bundesliga 2023 2024,Round 34,19/05/,Hannover,Holstein Kiel,1,2,2,g_1_xv3OdB8O,2.13,3.98,3.17,2.17,0.71
football,2 Bundesliga 2023 2024,Round 34,19/05/,Hansa Rostock,Paderborn,1,2,2,g_1_S2rYGEgt,2.26,3.7,3.09,1.72,1.83
football,2 Bundesliga 2023 2024,Round 34,19/05/,Kaiserslautern,Braunschweig,5,0,0,g_1_bm4KcigI,1.79,3.84,4.6,2.24,1.55
football,2 Bundesliga 2023 2024,Round 34,19/05/,VfL Osnabruck,Hertha Berlin,2,1,0,g_1_lIWtFhOh,0.0,0.0,0.0,1.19,1.91
football,2 Bundesliga 2023 2024,Round 34,19/05/,Wehen,St. Pauli,1,2,2,g_1_IiyoECwa,3.28,3.59,2.21,1.45,2.16
football,2 Bundesliga 2023 2024,Round 33,12/05/,Braunschweig,Wehen,1,0,0,g_1_pOlF0g9a,2.18,3.55,3.14,1.65,1.32
football,2 Bundesliga 2023 2024,Round 33,12/05/,Karlsruher SC,Hannover,1,2,2,g_1_rcTYKNfE,2.16,4.02,2.89,1.71,1.72
football,2 Bundesliga 2023 2024,Round 33,12/05/,St. Pauli,VfL Osnabruck,3,1,0,g_1_0Y3lDBy8,1.2,7.44,11.6,3.04,0.86
football,2 Bundesliga 2023 2024,Round 33,12/05/,Holstein Kiel,Dusseldorf,1,1,1,g_1_A5d23ePt,2.46,3.72,2.61,1.43,2.32
football,2 Bundesliga 2023 2024,Round 33,11/05/,Hertha Berlin,Kaiserslautern,3,1,0,g_1_lb0pEiM1,2.37,3.85,2.83,2.51,0.81
football,2 Bundesliga 2023 2024,Round 33,11/05/,Nurnberg,Elversberg,3,0,0,g_1_WKpB1Zgg,2.62,3.69,2.62,2.12,0.38
football,2 Bundesliga 2023 2024,Round 33,11/05/,Schalke,Hansa Rostock,2,1,0,g_1_fy1tFX6e,1.98,3.92,3.62,0.76,0.67
football,2 Bundesliga 2023 2024,Round 33,11/05/,Magdeburg,Greuther Furth,0,0,1,g_1_lde62Fvm,2.11,3.61,3.5,0.47,1.43
football,2 Bundesliga 2023 2024,Round 33,11/05/,Paderborn,Hamburger SV,1,0,0,g_1_46UUL3u8,3.84,4.34,1.83,1.62,0.59
football,2 Bundesliga 2023 2024,Round 32,08/05/,VfL Osnabruck,Schalke,0,4,2,g_1_b97XGgxq,3.44,3.52,2.07,0.97,2.88
football,2 Bundesliga 2023 2024,Round 32,05/05/,Elversberg,Hertha Berlin,4,2,0,g_1_d0L5LZTR,2.23,4.05,2.95,3.15,3.75
football,2 Bundesliga 2023 2024,Round 32,05/05/,Hannover,Paderborn,3,2,0,g_1_6BShOyp9,2.0,3.8,3.4,3.96,3.12
football,2 Bundesliga 2023 2024,Round 32,05/05/,Wehen,Holstein Kiel,0,1,2,g_1_Gp2xGDik,3.3,3.6,2.09,0.66,1.17
football,2 Bundesliga 2023 2024,Round 32,05/05/,Kaiserslautern,Magdeburg,4,1,0,g_1_SKTlPHU2,1.98,3.77,3.47,2.49,0.79
football,2 Bundesliga 2023 2024,Round 32,04/05/,Greuther Furth,Braunschweig,3,3,1,g_1_lzIcNeaF,2.43,3.66,2.7,2.35,1.03
football,2 Bundesliga 2023 2024,Round 32,04/05/,Hansa Rostock,Karlsruher SC,1,2,2,g_1_2wM1MFEL,2.93,3.64,2.29,1.37,2.06
football,2 Bundesliga 2023 2024,Round 32,04/05/,Dusseldorf,Nurnberg,3,1,0,g_1_E3Q70Yi2,1.37,5.5,7.0,3.11,1.37
football,2 Bundesliga 2023 2024,Round 32,04/05/,Hamburger SV,St. Pauli,1,0,0,g_1_zDR31Exd,2.17,3.7,3.06,2.01,1.41
football,2 Bundesliga 2023 2024,Round 31,28/04/,Magdeburg,VfL Osnabruck,1,1,1,g_1_rFnP8dpM,1.57,4.41,5.15,2.05,1.49
football,2 Bundesliga 2023 2024,Round 31,28/04/,Nurnberg,Karlsruher SC,0,1,2,g_1_M5oT7GaS,3.31,3.9,2.03,0.52,1.62
football,2 Bundesliga 2023 2024,Round 31,28/04/,Wehen,Greuther Furth,3,5,2,g_1_hlxa2fNk,2.0,3.59,3.59,3.54,3.81
football,2 Bundesliga 2023 2024,Round 31,28/04/,Schalke,Dusseldorf,1,1,1,g_1_voCPme8d,2.78,3.59,2.38,1.1,1.82
football,2 Bundesliga 2023 2024,Round 31,27/04/,Braunschweig,Hamburger SV,0,4,2,g_1_voYf3z8q,2.96,3.82,2.3,0.56,3.78
football,2 Bundesliga 2023 2024,Round 31,27/04/,Holstein Kiel,Kaiserslautern,1,3,2,g_1_QwhK9xVF,1.85,4.04,4.04,1.46,0.93
football,2 Bundesliga 2023 2024,Round 31,27/04/,Paderborn,Elversberg,3,1,0,g_1_nmgGAIF9,1.83,4.4,3.81,2.49,1.65
football,2 Bundesliga 2023 2024,Round 31,27/04/,Hertha Berlin,Hannover,1,1,1,g_1_tjj8Cvoc,2.27,3.63,2.93,0.7,1.06
football,2 Bundesliga 2023 2024,Round 31,27/04/,St. Pauli,Hansa Rostock,1,0,0,g_1_hQgCBb03,0.0,0.0,0.0,0.46,0.46
football,2 Bundesliga 2023 2024,Round 30,21/04/,Hannover,St. Pauli,1,2,2,g_1_YqTtdJ0G,3.13,3.34,2.4,1.72,0.81
football,2 Bundesliga 2023 2024,Round 30,21/04/,Hansa Rostock,Magdeburg,0,2,2,g_1_nmXpewGM,2.67,3.5,2.52,0.69,1.22
football,2 Bundesliga 2023 2024,Round 30,21/04/,Karlsruher SC,Hertha Berlin,3,2,0,g_1_0WUYcuW3,2.13,3.78,3.09,0.78,2.27
football,2 Bundesliga 2023 2024,Round 30,21/04/,Hamburger SV,Holstein Kiel,0,1,2,g_1_tUEXa11i,2.11,3.78,3.12,2.05,1.42
football,2 Bundesliga 2023 2024,Round 30,20/04/,Dusseldorf,Greuther Furth,1,0,0,g_1_KKDyaLGc,1.53,4.58,6.11,0.8,0.72
