sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,2 Bundesliga 2024 2025,Regular Season,28/05/,BraunschweigWinner,Saarbrucken,2,2,1,2.03,3.59,3.36,g_1_WA1QCjWq,3.13,2.2
football,2 Bundesliga 2024 2025,Regular Season,24/05/,Saarbrucken,Braunschweig,0,2,2,2.23,3.26,3.07,g_1_xAqhVbnB,0.42,0.48
football,2 Bundesliga 2024 2025,Round 34,18/05/,Braunschweig,Nurnberg,1,4,2,1.78,3.97,4.17,g_1_4UEN5vp4,0.7,1.66
football,2 Bundesliga 2024 2025,Round 34,18/05/,Darmstadt,Regensburg,3,1,0,1.44,4.82,6.6,g_1_OCY7B9GP,2.46,0.99
football,2 Bundesliga 2024 2025,Round 34,18/05/,FC Koln,Kaiserslautern,4,0,0,1.46,5.05,5.81,g_1_r1sV3ccJ,3.06,0.55
football,2 Bundesliga 2024 2025,Round 34,18/05/,Greuther Furth,Hamburger SV,3,2,0,2.58,4.05,2.39,g_1_GADn4R8a,1.74,1.89
football,2 Bundesliga 2024 2025,Round 34,18/05/,Hertha Berlin,Hannover,1,1,1,2.08,3.8,3.25,g_1_OzHf25wC,1.36,0.86
football,2 Bundesliga 2024 2025,Round 34,18/05/,Karlsruher SC,Paderborn,3,0,0,4.41,4.07,1.73,g_1_fePw6mvm,0.49,1.75
football,2 Bundesliga 2024 2025,Round 34,18/05/,Magdeburg,Dusseldorf,4,2,0,2.32,3.93,2.73,g_1_82LE70Fi,2.0,1.22
football,2 Bundesliga 2024 2025,Round 34,18/05/,Schalke,Elversberg,1,2,2,4.58,4.41,1.65,g_1_G8YSqcNp,0.82,0.5
football,2 Bundesliga 2024 2025,Round 34,18/05/,Ulm,Preussen Munster,2,2,1,3.46,3.38,2.14,g_1_CfIV3IEG,0.71,1.11
football,2 Bundesliga 2024 2025,Round 33,11/05/,Hannover,Greuther Furth,1,1,1,2.12,3.95,3.06,g_1_tfCXf2El,0.91,0.93
football,2 Bundesliga 2024 2025,Round 33,11/05/,Kaiserslautern,Darmstadt,2,1,0,1.93,4.05,3.48,g_1_6en691Ts,1.64,1.57
football,2 Bundesliga 2024 2025,Round 33,11/05/,Regensburg,Karlsruher SC,2,2,1,3.53,3.83,1.97,g_1_AmqN5JS6,1.32,1.63
football,2 Bundesliga 2024 2025,Round 33,11/05/,Hamburger SV,Ulm,6,1,0,1.37,5.79,6.82,g_1_M9V00OjR,2.28,2.27
football,2 Bundesliga 2024 2025,Round 33,10/05/,Dusseldorf,Schalke,2,0,0,1.83,4.27,3.66,g_1_zgXh2pME,0.92,0.16
football,2 Bundesliga 2024 2025,Round 33,10/05/,Elversberg,Braunschweig,3,0,0,1.52,4.82,5.36,g_1_AZ3liKDD,2.29,0.24
football,2 Bundesliga 2024 2025,Round 33,10/05/,Paderborn,Magdeburg,2,1,0,1.83,4.15,3.8,g_1_E7Augtq1,2.15,1.37
football,2 Bundesliga 2024 2025,Round 33,10/05/,Nurnberg,FC Koln,1,2,2,6.07,4.8,1.47,g_1_MNAZEN5K,0.64,2.43
football,2 Bundesliga 2024 2025,Round 33,10/05/,Preussen Munster,Hertha Berlin,2,0,0,2.61,3.81,2.46,g_1_ELkE7ubf,1.3,0.19
football,2 Bundesliga 2024 2025,Round 32,04/05/,Hertha Berlin,Greuther Furth,1,0,0,1.89,3.96,3.7,g_1_YTQOR3p2,1.1,0.29
football,2 Bundesliga 2024 2025,Round 32,04/05/,Karlsruher SC,Kaiserslautern,2,2,1,2.56,3.58,2.61,g_1_CExGTPFk,2.0,1.31
football,2 Bundesliga 2024 2025,Round 32,04/05/,Nurnberg,Elversberg,1,3,2,4.38,4.15,1.71,g_1_fZBJmo7L,0.77,0.75
football,2 Bundesliga 2024 2025,Round 32,04/05/,FC Koln,Regensburg,1,1,1,1.24,6.63,10.6,g_1_02urlf14,2.57,0.57
football,2 Bundesliga 2024 2025,Round 32,03/05/,Braunschweig,Dusseldorf,2,2,1,2.9,3.45,2.4,g_1_nXjbt3ae,2.15,0.77
football,2 Bundesliga 2024 2025,Round 32,03/05/,Darmstadt,Hamburger SV,0,4,2,3.2,3.83,2.09,g_1_6FArnYVG,1.1,2.69
football,2 Bundesliga 2024 2025,Round 32,03/05/,Ulm,Hannover,1,2,2,2.59,3.56,2.59,g_1_fcf6vsU7,2.65,0.47
