sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Bundesliga 2024 2025,Regular Season,27/05/,Elversberg,HeidenheimWinner,1,2,2,g_1_EgJGN7p2,0.0,0.0,0.0,0.88,1.55
football,Bundesliga 2024 2025,Regular Season,23/05/,Heidenheim,Elversberg,2,2,1,g_1_IRP7PTFk,2.24,3.61,3.26,2.68,1.8
football,Bundesliga 2024 2025,Round 34,17/05/,Augsburg,Union Berlin,1,2,2,g_1_YmLinyG6,1.98,3.76,3.87,1.69,1.15
football,Bundesliga 2024 2025,Round 34,17/05/,B. Monchengladbach,Wolfsburg,0,1,2,g_1_M91n8IxQ,2.31,4.21,2.78,0.89,1.72
football,Bundesliga 2024 2025,Round 34,17/05/,Dortmund,Holstein Kiel,3,0,0,g_1_KpeIXy1D,1.16,9.79,15.5,2.75,0.46
football,Bundesliga 2024 2025,Round 34,17/05/,Freiburg,Eintracht Frankfurt,1,3,2,g_1_xMRrlcof,2.36,3.69,2.98,0.74,2.14
football,Bundesliga 2024 2025,Round 34,17/05/,Heidenheim,Werder Bremen,1,4,2,g_1_48TzjJGs,2.67,4.0,2.46,1.66,2.18
football,Bundesliga 2024 2025,Round 34,17/05/,Hoffenheim,Bayern Munich,0,4,2,g_1_nim4eugK,4.83,4.58,1.65,0.44,1.54
football,Bundesliga 2024 2025,Round 34,17/05/,Mainz,Bayer Leverkusen,2,2,1,g_1_tEOapFpJ,2.57,3.99,2.56,3.12,1.39
football,Bundesliga 2024 2025,Round 34,17/05/,RB Leipzig,Stuttgart,2,3,2,g_1_bV69ZcW0,1.89,4.59,3.54,1.14,2.42
football,Bundesliga 2024 2025,Round 34,17/05/,St. Pauli,Bochum,0,2,2,g_1_Ig2H2d0m,1.77,4.19,4.43,0.79,1.46
football,Bundesliga 2024 2025,Round 33,12/05/,Stuttgart,Augsburg,4,0,0,g_1_4zhoqB3c,1.57,4.61,5.64,4.19,0.47
football,Bundesliga 2024 2025,Round 33,12/05/,Eintracht Frankfurt,St. Pauli,2,2,1,g_1_jqSQOtIr,1.59,4.45,5.64,1.58,0.87
