sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Championship 2024 2025,Regular Season,24/05/,Sheffield Utd,SunderlandWinner,1,2,2,g_1_M1eruO26,2.32,3.06,3.66,1.46,0.71
football,Championship 2024 2025,Regular Season,14/05/,SunderlandAdvancing to next round,Coventry,1,1,1,g_1_OdSjdVml,2.3,3.5,3.22,1.06,1.63
football,Championship 2024 2025,Regular Season,13/05/,Sheffield UtdAdvancing to next round,Bristol City,3,0,0,g_1_E5mk5QWI,1.88,3.75,4.34,1.33,0.47
football,Championship 2024 2025,Regular Season,10/05/,Coventry,Sunderland,1,2,2,g_1_fR9S1iQQ,2.21,3.3,3.65,1.52,1.46
football,Championship 2024 2025,Regular Season,09/05/,Bristol City,Sheffield Utd,0,3,2,g_1_6ups7n26,3.23,3.1,2.5,0.23,2.55
football,Championship 2024 2025,Round 46,03/05/,Bristol City,Preston,2,2,1,g_1_xjy0CkNj,1.92,3.49,4.48,1.95,1.52
football,Championship 2024 2025,Round 46,03/05/,Burnley,Millwall,3,1,0,g_1_IoEnzgFc,1.55,4.44,6.16,1.99,1.51
football,Championship 2024 2025,Round 46,03/05/,Coventry,Middlesbrough,2,0,0,g_1_42CfYWqA,2.13,3.95,3.25,1.79,1.43
football,Championship 2024 2025,Round 46,03/05/,Derby,Stoke,0,0,1,g_1_0U53WAEM,2.21,2.95,4.2,1.59,0.34
football,Championship 2024 2025,Round 46,03/05/,Norwich,Cardiff,4,2,0,g_1_08UcjQMh,1.54,4.88,5.65,2.3,1.77
football,Championship 2024 2025,Round 46,03/05/,Plymouth,Leeds,1,2,2,g_1_d0iZQlxp,9.6,6.83,1.28,0.49,2.62
football,Championship 2024 2025,Round 46,03/05/,Portsmouth,Hull,1,1,1,g_1_hSprPS6d,3.11,3.84,2.23,0.74,1.71
football,Championship 2024 2025,Round 46,03/05/,Sheffield Utd,Blackburn,1,1,1,g_1_4GiTnWb3,2.44,3.61,2.9,2.22,0.33
football,Championship 2024 2025,Round 46,03/05/,Sunderland,QPR,0,1,2,g_1_QVuxoATF,1.54,4.61,6.14,0.85,0.36
football,Championship 2024 2025,Round 46,03/05/,Swansea,Oxford Utd,3,3,1,g_1_dzO6l4i5,1.63,4.34,5.42,1.16,1.06
football,Championship 2024 2025,Round 46,03/05/,Watford,Sheffield Wed,1,1,1,g_1_YeqpqlbS,2.68,3.61,2.63,1.48,1.49
football,Championship 2024 2025,Round 46,03/05/,West Brom,Luton,5,3,0,g_1_htQGwSLk,3.33,3.5,2.25,2.12,0.49
football,Championship 2024 2025,Round 45,29/04/,Leeds,Bristol City,4,0,0,g_1_nPz6ROWP,1.43,5.13,7.4,3.39,0.07
football,Championship 2024 2025,Round 45,26/04/,Blackburn,Watford,2,1,0,g_1_Wj9SUcwI,1.68,3.94,5.49,0.66,0.35
football,Championship 2024 2025,Round 45,26/04/,Cardiff,West Brom,0,0,1,g_1_Cpwt1MJD,2.26,3.35,3.46,1.27,1.63
football,Championship 2024 2025,Round 45,26/04/,Hull,Derby,0,1,2,g_1_WGhJ3LvJ,2.34,3.12,3.53,0.41,0.3
football,Championship 2024 2025,Round 45,26/04/,Middlesbrough,Norwich,0,0,1,g_1_l8ixKtPa,1.66,4.23,5.16,0.77,0.77
football,Championship 2024 2025,Round 45,26/04/,Millwall,Swansea,1,0,0,g_1_SfWkhnht,2.31,3.21,3.5,1.6,0.91
football,Championship 2024 2025,Round 45,26/04/,Oxford Utd,Sunderland,2,0,0,g_1_dYfpIKgC,3.67,3.37,2.17,1.39,0.48
football,Championship 2024 2025,Round 45,26/04/,Preston,Plymouth,1,2,2,g_1_ImqgGbOO,1.84,3.62,4.73,2.56,0.85
football,Championship 2024 2025,Round 45,26/04/,Sheffield Wed,Portsmouth,1,1,1,g_1_2BHBYuvg,1.78,4.48,4.03,1.19,0.46
football,Championship 2024 2025,Round 45,26/04/,Luton,Coventry,1,0,0,g_1_reMyM2fm,2.5,3.4,2.97,2.29,0.14
football,Championship 2024 2025,Round 45,26/04/,QPR,Burnley,0,5,2,g_1_8CO2z29t,5.38,3.72,1.74,0.45,2.36
football,Championship 2024 2025,Round 45,26/04/,Stoke,Sheffield Utd,0,2,2,g_1_zPFJWJ85,2.5,3.4,2.97,0.73,2.08
football,Championship 2024 2025,Round 44,22/04/,Burnley,Sheffield Utd,2,1,0,g_1_OjkB5sA6,1.92,3.58,4.36,1.45,0.58
