sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Eredivisie 2023 2024,Regular Season,03/06/,Excelsior,NAC BredaWinner,4,1,0,g_1_CSPsHXjI,1.83,4.4,3.61,2.79,0.52
football,Eredivisie 2023 2024,Regular Season,29/05/,NAC Breda,Excelsior2,6,2,0,g_1_G0WYIgM5,2.41,3.72,2.7,4.19,1.45
football,Eredivisie 2023 2024,Regular Season,27/05/,Utrecht,G.A. EaglesWinner,1,2,2,g_1_UwFMQLcf,1.77,4.0,4.62,2.26,0.98
football,Eredivisie 2023 2024,Regular Season,26/05/,ExcelsiorAdvancing to next round,Den Haag,7,1,0,g_1_QemXTYgc,2.01,3.88,3.39,3.19,0.73
football,Eredivisie 2023 2024,Regular Season,25/05/,FC Emmen,NAC BredaAdvancing to next round,0,3,2,g_1_v10qsdPh,2.84,3.74,2.31,0.64,0.36
football,Eredivisie 2023 2024,Regular Season,24/05/,UtrechtAdvancing to next round,Sparta Rotterdam,3,1,0,g_1_8KYAIaiD,1.78,4.08,4.45,2.6,1.01
football,Eredivisie 2023 2024,Regular Season,24/05/,Nijmegen,G.A. EaglesAdvancing to next round,1,2,2,g_1_n3wjt3qK,1.9,3.85,4.1,1.48,2.39
football,Eredivisie 2023 2024,Regular Season,23/05/,Den Haag,Excelsior,1,2,2,g_1_rXNnMMzi,2.63,3.52,2.56,2.25,0.79
football,Eredivisie 2023 2024,Regular Season,22/05/,NAC Breda,FC Emmen,1,1,1,g_1_rZ6zqIft,1.59,4.3,4.91,1.14,2.02
football,Eredivisie 2023 2024,Round 34,19/05/,Almere City,Nijmegen,1,4,2,g_1_vB9gh4Dm,3.14,3.65,2.28,0.79,2.48
football,Eredivisie 2023 2024,Round 34,19/05/,AZ Alkmaar,Utrecht,3,3,1,g_1_dnKlgpbs,1.43,5.13,7.4,0.78,2.9
football,Eredivisie 2023 2024,Round 34,19/05/,FC Volendam,G.A. Eagles,1,2,2,g_1_MgTMcQkQ,5.36,4.85,1.57,1.14,2.27
football,Eredivisie 2023 2024,Round 34,19/05/,Feyenoord,Excelsior,4,0,0,g_1_SWTIb6zK,1.25,7.64,10.4,2.97,0.29
football,Eredivisie 2023 2024,Round 34,19/05/,Heracles,Sittard,0,0,1,g_1_ltVEanLD,2.66,3.79,2.56,0.37,0.44
football,Eredivisie 2023 2024,Round 34,19/05/,PSV,Waalwijk,3,1,0,g_1_W40Uiz27,1.14,10.5,17.1,3.75,0.58
football,Eredivisie 2023 2024,Round 34,19/05/,Sparta Rotterdam,Heerenveen,2,1,0,g_1_xr1QhGn1,1.67,4.3,5.01,0.88,0.67
