sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Eredivisie 2024 2025,Regular Season,02/06/,Willem II,TelstarWinner,1,3,2,2.25,3.24,3.35,g_1_KvGmRriJ,0.85,2.0
football,Eredivisie 2024 2025,Regular Season,30/05/,Telstar,Willem II,2,2,1,2.47,3.24,2.96,g_1_nRHuT4M6,0.8,1.48
football,Eredivisie 2024 2025,Regular Season,26/05/,AZ AlkmaarWinner,Twente,3,2,0,1.69,4.23,4.91,g_1_GEu1xAXp,2.79,2.08
football,Eredivisie 2024 2025,Regular Season,25/05/,Willem IIAdvancing to next round,Dordrecht,4,2,0,1.93,3.65,3.84,g_1_EetyuFEq,1.12,0.61
football,Eredivisie 2024 2025,Regular Season,24/05/,TelstarAdvancing to next round,Den Bosch,2,1,0,1.69,4.05,4.73,g_1_KQ2GTIpI,1.6,1.4
football,Eredivisie 2024 2025,Regular Season,23/05/,TwenteAdvancing to next round,Nijmegen,3,2,0,1.76,3.95,4.75,g_1_0lMV0dy3,1.17,2.83
football,Eredivisie 2024 2025,Regular Season,23/05/,AZ AlkmaarAdvancing to next round,Heerenveen,4,1,0,1.34,5.77,9.0,g_1_dGFvaz6F,3.16,0.54
football,Eredivisie 2024 2025,Regular Season,22/05/,Dordrecht,Willem II,2,1,0,2.13,3.46,3.4,g_1_rDk5pyiM,0.81,3.27
football,Eredivisie 2024 2025,Regular Season,21/05/,Den Bosch,Telstar,0,0,1,3.25,3.3,2.27,g_1_bBE7VvG5,1.48,0.52
football,Eredivisie 2024 2025,Round 34,18/05/,Ajax,Twente,2,0,0,1.43,5.62,6.45,g_1_OrwJsE0m,1.74,0.79
football,Eredivisie 2024 2025,Round 34,18/05/,AZ Alkmaar,Almere City,1,1,1,1.25,7.2,10.8,g_1_pbRRuhVa,1.5,0.43
football,Eredivisie 2024 2025,Round 34,18/05/,Heerenveen,Feyenoord,2,0,0,3.55,4.29,1.94,g_1_hp6Aj9qI,2.07,1.1
football,Eredivisie 2024 2025,Round 34,18/05/,Heracles,Nijmegen,1,2,2,2.38,3.57,3.02,g_1_ljOrxAUO,1.27,1.74
football,Eredivisie 2024 2025,Round 34,18/05/,NAC Breda,Willem II,1,1,1,1.75,3.91,4.89,g_1_42bhdDFt,2.72,1.64
football,Eredivisie 2024 2025,Round 34,18/05/,Sittard,Utrecht,0,0,1,0.0,0.0,0.0,g_1_hOUZwWaC,0.48,0.62
football,Eredivisie 2024 2025,Round 34,18/05/,Sparta Rotterdam,PSV,1,3,2,9.74,6.17,1.3,g_1_0A9IlmEU,0.68,2.92
football,Eredivisie 2024 2025,Round 34,18/05/,Waalwijk,G.A. Eagles,5,3,0,2.61,4.14,2.46,g_1_WUH1hVE5,3.09,4.49
football,Eredivisie 2024 2025,Round 34,18/05/,Zwolle,Groningen,2,0,0,2.03,3.66,3.76,g_1_O4Egfipg,1.53,0.62
football,Eredivisie 2024 2025,Round 34,18/05/,DordrechtAdvancing to next round,De Graafschap,2,0,0,2.26,3.68,2.96,g_1_Ew9kOTCk,0.72,1.68
football,Eredivisie 2024 2025,Round 34,17/05/,Den Haag,TelstarAdvancing to next round,0,1,2,1.65,4.15,4.91,g_1_nTOAVBKF,1.02,0.94
football,Eredivisie 2024 2025,Round 34,17/05/,Cambuur,Den BoschAdvancing to next round,1,1,1,0.0,0.0,0.0,g_1_EPTG9Ucd,2.67,0.59
football,Eredivisie 2024 2025,Round 33,15/05/,Almere City,Sittard,1,1,1,1.87,3.83,4.26,g_1_dfv3Gy2l,0.97,1.09
football,Eredivisie 2024 2025,Round 33,15/05/,Feyenoord,Waalwijk,2,0,0,0.0,0.0,0.0,g_1_xEaxVzHs,3.89,0.2
football,Eredivisie 2024 2025,Round 33,15/05/,G.A. Eagles,Heerenveen,1,0,0,2.45,3.77,2.8,g_1_AuDqTEof,1.59,1.07
football,Eredivisie 2024 2025,Round 33,15/05/,Groningen,Ajax,2,2,1,5.87,4.3,1.59,g_1_U7xBEFW0,1.78,0.8
football,Eredivisie 2024 2025,Round 33,15/05/,Nijmegen,NAC Breda,3,0,0,1.47,4.92,6.74,g_1_676hRhG6,2.13,1.23
football,Eredivisie 2024 2025,Round 33,15/05/,PSV,Heracles,4,1,0,1.06,13.0,29.0,g_1_vL40PWpJ,3.0,0.65
football,Eredivisie 2024 2025,Round 33,15/05/,Twente,AZ Alkmaar,2,3,2,2.78,3.32,2.7,g_1_QZVJCg1D,2.08,2.04
football,Eredivisie 2024 2025,Round 33,15/05/,Utrecht,Sparta Rotterdam,1,1,1,1.81,3.83,4.61,g_1_htO5zcgK,2.65,1.08
football,Eredivisie 2024 2025,Round 33,15/05/,Willem II,Zwolle,1,2,2,2.97,3.38,2.51,g_1_fTnmmzwQ,1.0,1.09
football,Eredivisie 2024 2025,Round 33,14/05/,De Graafschap,Dordrecht,0,0,1,1.8,4.15,3.8,g_1_fgSITkkS,0.8,0.6
football,Eredivisie 2024 2025,Round 33,14/05/,Telstar,Den Haag,2,0,0,2.68,3.58,2.43,g_1_QDz2XXk3,0.97,0.78
football,Eredivisie 2024 2025,Round 33,13/05/,Den Bosch,Cambuur,1,0,0,3.05,3.6,2.2,g_1_Icz8BjTq,0.99,1.3
football,Eredivisie 2024 2025,Round 32,11/05/,Ajax,Nijmegen,0,3,2,1.23,7.09,12.7,g_1_pdET5olT,2.44,0.75
football,Eredivisie 2024 2025,Round 32,11/05/,AZ Alkmaar,Groningen,3,0,0,1.77,3.89,4.8,g_1_dzrnOS3c,3.26,0.65
football,Eredivisie 2024 2025,Round 32,11/05/,Feyenoord,PSV,2,3,2,3.23,4.03,2.11,g_1_QFZ2Kp3M,1.17,2.92
football,Eredivisie 2024 2025,Round 32,11/05/,Twente,Utrecht,2,0,0,1.88,3.99,4.04,g_1_h2yeM6Y9,1.33,1.03
football,Eredivisie 2024 2025,Round 32,11/05/,Zwolle,G.A. Eagles,1,1,1,2.41,4.1,2.69,g_1_G0tzD2ed,2.08,1.15
football,Eredivisie 2024 2025,Round 32,11/05/,Almere City,Sparta Rotterdam,0,3,2,2.79,3.61,2.53,g_1_UTk00PBj,1.73,1.94
football,Eredivisie 2024 2025,Round 32,11/05/,Sittard,NAC Breda,1,0,0,1.8,3.8,4.69,g_1_8zwSEOQq,1.43,1.07
football,Eredivisie 2024 2025,Round 32,10/05/,Waalwijk,Heerenveen,3,1,0,3.39,4.01,2.06,g_1_ddJMz6m3,1.36,0.91
football,Eredivisie 2024 2025,Round 32,10/05/,Willem II,Heracles,1,2,2,2.59,3.59,2.73,g_1_4MMUYqIF,0.87,2.22
football,Eredivisie 2024 2025,Round 31,04/05/,G.A. Eagles,AZ Alkmaar,0,3,2,3.76,4.01,1.94,g_1_UoqWdj5b,0.78,1.62
football,Eredivisie 2024 2025,Round 31,04/05/,Sparta Rotterdam,Twente,0,2,2,2.48,3.62,2.85,g_1_hldM77JG,0.69,0.69
football,Eredivisie 2024 2025,Round 31,04/05/,NAC Breda,Zwolle,1,3,2,2.14,3.67,3.45,g_1_80MImnSp,0.8,1.45
football,Eredivisie 2024 2025,Round 31,04/05/,PSV,Sittard,4,1,0,1.11,11.2,25.0,g_1_O845BkKi,2.99,0.29
