sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Europa League 2023 2024,Regular Season,23/05/,AtalantaWinner,Bayer Leverkusen,3,0,0,g_1_tWVy3JlJ,4.3,3.68,1.9,0.77,0.79
football,Europa League 2023 2024,Regular Season,10/05/,AtalantaAdvancing to next round,Marseille,3,0,0,g_1_fq72cb2n,0.0,0.0,0.0,1.57,0.25
football,Europa League 2023 2024,Regular Season,10/05/,Bayer LeverkusenAdvancing to next round,AS Roma,2,2,1,g_1_n1AJSnce,1.6,4.45,5.58,3.04,2.33
football,Europa League 2023 2024,Regular Season,03/05/,AS Roma,Bayer Leverkusen,0,2,2,g_1_vy7BU8Sr,3.46,3.38,2.25,1.31,2.07
football,Europa League 2023 2024,Regular Season,03/05/,Marseille,Atalanta,1,1,1,g_1_4KRhweHU,2.76,3.39,2.68,0.88,0.73
football,Europa League 2023 2024,Regular Season,19/04/,AS RomaAdvancing to next round,AC Milan,2,1,0,g_1_faTuORtF,3.61,3.58,2.1,1.57,1.06
football,Europa League 2023 2024,Regular Season,19/04/,AtalantaAdvancing to next round,Liverpool,0,1,2,g_1_bXZWPmC2,5.8,5.08,1.51,0.61,1.46
football,Europa League 2023 2024,Regular Season,19/04/,MarseilleAdvancing to next round,Benfica,2,0,0,g_1_QojD5JQm,2.44,3.74,2.95,1.97,1.16
football,Europa League 2023 2024,Regular Season,19/04/,West Ham,Bayer LeverkusenAdvancing to next round,1,1,1,g_1_KpqM3ce0,3.73,3.89,1.98,1.6,1.05
football,Europa League 2023 2024,Regular Season,12/04/,AC Milan,AS Roma,0,1,2,g_1_xOYzP7R8,1.77,3.84,4.87,1.36,0.56
football,Europa League 2023 2024,Regular Season,12/04/,Bayer Leverkusen,West Ham,2,0,0,g_1_xMgH4wtf,1.44,4.87,7.7,2.44,0.21
football,Europa League 2023 2024,Regular Season,12/04/,Benfica,Marseille,2,1,0,g_1_WOj96aBs,1.74,3.84,5.12,0.21,0.34
football,Europa League 2023 2024,Regular Season,12/04/,Liverpool,Atalanta,0,3,2,g_1_pUok14Z1,1.36,5.64,8.51,1.63,2.26
football,Europa League 2023 2024,Regular Season,15/03/,AtalantaAdvancing to next round,Sporting CP,2,1,0,g_1_EiGXfHJo,1.95,3.67,4.08,1.17,1.4
football,Europa League 2023 2024,Regular Season,15/03/,Bayer LeverkusenAdvancing to next round,Qarabag,3,2,0,g_1_EVvcrvzt,1.21,8.05,15.5,4.61,0.78
football,Europa League 2023 2024,Regular Season,15/03/,Brighton,AS RomaAdvancing to next round,1,0,0,g_1_ljOoyNSC,1.65,4.47,5.34,1.49,0.41
football,Europa League 2023 2024,Regular Season,15/03/,LiverpoolAdvancing to next round,Sparta Prague,6,1,0,g_1_6og6vdZ4,1.21,8.55,14.6,4.14,0.36
