sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Laliga 2024 2025,Round 38,26/05/,Ath Bilbao,Barcelona,0,3,2,g_1_4xBMgyvp,3.49,4.0,2.03,1.2,3.49
football,Laliga 2024 2025,Round 38,25/05/,Villarreal,Sevilla,4,2,0,g_1_djfP9mUs,1.75,4.42,4.3,1.06,1.32
football,Laliga 2024 2025,Round 38,25/05/,Girona,Atl. Madrid,0,4,2,g_1_Q9A5gSq1,3.48,3.57,2.16,0.05,2.92
football,Laliga 2024 2025,Round 38,25/05/,Alaves,Osasuna,1,1,1,g_1_befPDdVF,3.46,3.29,2.28,1.51,1.62
football,Laliga 2024 2025,Round 38,25/05/,Getafe,Celta Vigo,1,2,2,g_1_pCQ6i6ED,4.85,3.88,1.77,0.39,1.47
football,Laliga 2024 2025,Round 38,25/05/,Rayo Vallecano,Mallorca,0,0,1,g_1_CIIhF96K,1.53,4.19,7.29,2.11,0.66
football,Laliga 2024 2025,Round 38,25/05/,Espanyol,Las Palmas,2,0,0,g_1_nuc2SQDs,1.44,5.13,7.18,1.85,0.52
football,Laliga 2024 2025,Round 38,25/05/,Leganes,Valladolid,3,0,0,g_1_hdCcelFl,1.36,5.6,8.65,2.15,0.37
football,Laliga 2024 2025,Round 38,24/05/,Real Madrid,Real Sociedad,2,0,0,g_1_jVjHFI03,1.4,5.64,7.18,2.49,0.77
football,Laliga 2024 2025,Round 38,24/05/,Betis,Valencia,1,1,1,g_1_AZDUiF8d,1.94,3.98,3.78,0.92,0.77
football,Laliga 2024 2025,Round 37,19/05/,Atl. Madrid,Betis,4,1,0,g_1_lnM5Sbuo,1.57,4.44,5.9,4.76,0.91
football,Laliga 2024 2025,Round 37,19/05/,Barcelona,Villarreal,2,3,2,g_1_2R3hj2Xi,1.7,4.6,4.41,1.26,1.75
football,Laliga 2024 2025,Round 37,19/05/,Celta Vigo,Rayo Vallecano,1,2,2,g_1_zu20lt24,1.94,3.58,4.2,2.23,1.03
football,Laliga 2024 2025,Round 37,19/05/,Las Palmas,Leganes,0,1,2,g_1_phUkacGM,3.11,3.57,2.33,0.57,1.56
football,Laliga 2024 2025,Round 37,19/05/,Mallorca,Getafe,1,2,2,g_1_vXbHpb1T,2.62,2.95,3.23,0.37,1.61
