sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Ligue 1 2022 2023,Round 38,04/06/,AC Ajaccio,Marseille,1,0,0,g_1_W0ldfU30,8.19,4.87,1.42,0.1,1.1
football,Ligue 1 2022 2023,Round 38,04/06/,Auxerre,Lens,1,3,2,g_1_p4h0glJ6,3.3,3.84,2.14,2.35,3.0
football,Ligue 1 2022 2023,Round 38,04/06/,Brest,Rennes,1,2,2,g_1_W0AR993m,4.81,3.87,1.77,1.33,1.57
football,Ligue 1 2022 2023,Round 38,04/06/,Lorient,Strasbourg,2,1,0,g_1_6Jt9iSmJ,3.17,3.57,2.3,0.57,0.75
football,Ligue 1 2022 2023,Round 38,04/06/,Monaco,Toulouse,1,2,2,g_1_SSs5h8YC,1.41,6.14,6.26,1.89,2.7
football,Ligue 1 2022 2023,Round 38,04/06/,Nantes,Angers,1,0,0,g_1_YPUjGBQJ,1.55,4.7,6.3,0.86,0.33
football,Ligue 1 2022 2023,Round 38,04/06/,Nice,Lyon,3,1,0,g_1_CGTfFVuQ,2.5,4.3,2.61,2.5,2.54
football,Ligue 1 2022 2023,Round 38,04/06/,PSG,Clermont,2,3,2,g_1_Ic6NAkls,1.32,6.7,9.2,2.52,2.75
football,Ligue 1 2022 2023,Round 38,04/06/,Reims,Montpellier,1,3,2,g_1_QN9V8TIg,1.88,4.25,3.82,1.67,2.18
football,Ligue 1 2022 2023,Round 38,04/06/,Troyes,Lille,1,1,1,g_1_4E8Z7mYa,0.0,0.0,0.0,0.29,1.58
football,Ligue 1 2022 2023,Round 37,28/05/,Angers,Troyes,2,1,0,g_1_bZAFsiKf,1.78,4.31,4.19,1.05,0.24
football,Ligue 1 2022 2023,Round 37,28/05/,Clermont,Lorient,2,0,0,g_1_xQ9JtBZ0,2.3,3.37,3.37,1.14,1.23
