sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Premier League 2023 2024,Round 38,20/05/,Arsenal,Everton,2,1,0,g_1_jXP8f29S,1.24,7.7,10.6,3.12,0.5
football,Premier League 2023 2024,Round 38,20/05/,Brentford,Newcastle,2,4,2,g_1_htCzjMHq,3.11,4.03,2.17,1.07,3.47
football,Premier League 2023 2024,Round 38,20/05/,Brighton,Manchester Utd,0,2,2,g_1_z51uktXk,2.76,4.1,2.36,1.76,1.37
football,Premier League 2023 2024,Round 38,20/05/,Burnley,Nottingham,1,2,2,g_1_nu5ql0nd,3.05,3.88,2.25,1.1,1.45
football,Premier League 2023 2024,Round 38,20/05/,Chelsea,Bournemouth,2,1,0,g_1_0rgRCqPd,1.41,5.39,7.52,0.9,2.34
football,Premier League 2023 2024,Round 38,20/05/,Crystal Palace,Aston Villa,5,0,0,g_1_vZiVB3v3,1.65,4.67,4.74,2.31,1.2
football,Premier League 2023 2024,Round 38,20/05/,Liverpool,Wolves,2,0,0,g_1_dAnzBNg9,1.14,10.3,17.7,4.46,0.62
football,Premier League 2023 2024,Round 38,20/05/,Luton,Fulham,2,4,2,g_1_z1ovAs9F,3.17,3.99,2.15,2.0,1.02
football,Premier League 2023 2024,Round 38,20/05/,Manchester City,West Ham,3,1,0,g_1_Sd97hFwr,1.08,16.6,23.0,2.2,0.37
football,Premier League 2023 2024,Round 38,20/05/,Sheffield Utd,Tottenham,0,3,2,g_1_t0DBiZhl,7.94,5.91,1.36,1.05,3.4
football,Premier League 2023 2024,Round 34,16/05/,Manchester Utd,Newcastle,3,2,0,g_1_C43exrWn,2.86,4.09,2.29,2.58,1.97
football,Premier League 2023 2024,Round 34,16/05/,Brighton,Chelsea,1,2,2,g_1_ro9WXSv1,3.44,4.12,2.01,1.22,1.27
football,Premier League 2023 2024,Round 34,15/05/,Tottenham,Manchester City,0,2,2,g_1_I163zM0a,6.88,6.13,1.38,1.52,2.15
football,Premier League 2023 2024,Round 37,14/05/,Aston Villa,Liverpool,3,3,1,g_1_GziuczET,3.78,4.85,1.78,3.31,1.72
football,Premier League 2023 2024,Round 37,13/05/,Manchester Utd,Arsenal,0,1,2,g_1_ERUq06ui,9.21,6.11,1.32,0.71,1.48
football,Premier League 2023 2024,Round 37,12/05/,Nottingham,Chelsea,2,3,2,g_1_nuTibpA3,4.5,4.11,1.77,1.6,1.81
football,Premier League 2023 2024,Round 37,11/05/,Bournemouth,Brentford,1,2,2,g_1_2XnybGbN,2.16,3.68,3.38,0.59,1.6
football,Premier League 2023 2024,Round 37,11/05/,Everton,Sheffield Utd,1,0,0,g_1_YFw7hfMp,1.43,5.13,7.44,2.0,0.62
football,Premier League 2023 2024,Round 37,11/05/,Newcastle,Brighton,1,1,1,g_1_hITmaQfc,1.61,4.82,4.97,2.21,1.5
football,Premier League 2023 2024,Round 37,11/05/,Tottenham,Burnley,2,1,0,g_1_0rXec4P9,1.31,6.71,8.55,2.58,0.71
football,Premier League 2023 2024,Round 37,11/05/,West Ham,Luton,3,1,0,g_1_r7M0dOvG,1.86,4.09,4.02,2.3,0.47
football,Premier League 2023 2024,Round 37,11/05/,Wolves,Crystal Palace,1,3,2,g_1_McL4erfM,3.37,3.57,2.2,1.16,3.0
football,Premier League 2023 2024,Round 37,11/05/,Fulham,Manchester City,0,4,2,g_1_C6xBiEyi,13.4,7.49,1.22,0.1,2.87
football,Premier League 2023 2024,Round 36,07/05/,Crystal Palace,Manchester Utd,4,0,0,g_1_jT5F2vph,2.05,3.88,3.5,1.4,0.33
football,Premier League 2023 2024,Round 36,06/05/,Liverpool,Tottenham,4,2,0,g_1_YieK1bab,1.48,5.85,5.4,3.19,1.16
football,Premier League 2023 2024,Round 36,05/05/,Brighton,Aston Villa,1,0,0,g_1_xWC2qHqU,2.63,3.84,2.56,2.47,0.06
football,Premier League 2023 2024,Round 36,05/05/,Chelsea,West Ham,5,0,0,g_1_hrmC3KUo,1.53,5.08,5.59,4.31,0.93
football,Premier League 2023 2024,Round 36,05/05/,Manchester City,Wolves,5,1,0,g_1_tIbSaxUA,1.09,14.7,21.0,3.03,0.37
football,Premier League 2023 2024,Round 36,04/05/,Brentford,Fulham,0,0,1,g_1_KfIcpcUN,2.06,3.9,3.46,1.11,1.13
football,Premier League 2023 2024,Round 36,04/05/,Burnley,Newcastle,1,4,2,g_1_vuaUvyho,3.65,4.1,1.95,1.17,3.03
football,Premier League 2023 2024,Round 36,04/05/,Sheffield Utd,Nottingham,1,3,2,g_1_K8cWbdqH,4.98,4.27,1.68,2.26,1.49
football,Premier League 2023 2024,Round 36,04/05/,Arsenal,Bournemouth,3,0,0,g_1_t4JgowFH,1.22,7.28,14.0,3.45,0.4
football,Premier League 2023 2024,Round 36,04/05/,Luton,Everton,1,1,1,g_1_CrfO0IE4,2.86,3.83,2.38,0.87,1.64
football,Premier League 2023 2024,Round 26,03/05/,Chelsea,Tottenham,2,0,0,g_1_lUEplQC8,2.36,4.08,2.76,1.71,1.87
football,Premier League 2023 2024,Round 35,29/04/,Nottingham,Manchester City,0,2,2,g_1_CORxkLFh,12.9,6.11,1.26,1.47,0.7
football,Premier League 2023 2024,Round 35,28/04/,Bournemouth,Brighton,3,0,0,g_1_ETaCYaVB,1.98,4.27,3.44,2.33,1.1
football,Premier League 2023 2024,Round 35,28/04/,Tottenham,Arsenal,2,3,2,g_1_jFQtluVb,4.63,4.31,1.72,2.27,1.0
football,Premier League 2023 2024,Round 35,28/04/,Aston Villa,Chelsea,2,2,1,g_1_hKbGXJpI,2.14,3.85,3.29,0.85,1.47
football,Premier League 2023 2024,Round 35,28/04/,Everton,Brentford,1,0,0,g_1_nsbKWw0O,2.77,3.6,2.56,0.89,0.93
football,Premier League 2023 2024,Round 35,27/04/,Fulham,Crystal Palace,1,1,1,g_1_0p2OVcFU,2.14,3.6,3.49,1.27,0.97
football,Premier League 2023 2024,Round 35,27/04/,Manchester Utd,Burnley,1,1,1,g_1_Q7TUjsot,1.51,5.08,5.83,1.64,1.57
football,Premier League 2023 2024,Round 35,27/04/,Newcastle,Sheffield Utd,5,1,0,g_1_4bSYk10n,1.22,7.96,12.0,2.43,1.64
