sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Serie A 2022 2023,Regular Season,12/06/,Spezia,VeronaWinner,1,3,2,g_1_Q3DqQz7n,2.59,2.93,3.29,2.37,0.75
football,Serie A 2022 2023,Round 38,05/06/,AC Milan,Verona,3,1,0,g_1_dCc3RImt,1.72,4.08,5.25,2.21,0.75
football,Serie A 2022 2023,Round 38,05/06/,AS Roma,Spezia,2,1,0,g_1_hviCPdIh,1.74,3.81,5.14,2.19,1.03
football,Serie A 2022 2023,Round 38,05/06/,Atalanta,Monza,5,2,0,g_1_n1Up9yYB,1.57,4.88,5.33,3.6,0.87
football,Serie A 2022 2023,Round 38,05/06/,Lecce,Bologna,2,3,2,g_1_KjMc6ZHU,2.48,3.59,2.87,1.64,0.87
football,Serie A 2022 2023,Round 38,05/06/,Udinese,Juventus,0,1,2,g_1_vegOMf2B,4.99,4.27,1.68,0.79,1.16
football,Serie A 2022 2023,Round 38,05/06/,Napoli,Sampdoria,2,0,0,g_1_z3d7Qx3n,1.08,14.3,30.0,2.14,0.58
football,Serie A 2022 2023,Round 38,04/06/,Cremonese,Salernitana,2,0,0,g_1_QiTl8emI,2.83,3.58,2.51,1.25,0.5
football,Serie A 2022 2023,Round 38,04/06/,Empoli,Lazio,0,2,2,g_1_8GIg7F2O,4.08,3.88,1.9,0.21,1.57
football,Serie A 2022 2023,Round 38,04/06/,Torino,Inter,0,1,2,g_1_QikKNzm5,2.67,3.56,2.66,1.25,0.96
football,Serie A 2022 2023,Round 38,03/06/,Sassuolo2,Fiorentina,1,3,2,g_1_WUkGOGXb,2.74,3.82,2.48,1.16,1.42
football,Serie A 2022 2023,Round 37,29/05/,Juventus,AC Milan,0,1,2,g_1_nwnbIuBP,2.51,3.36,3.12,0.97,0.52
football,Serie A 2022 2023,Round 37,29/05/,Lazio,Cremonese,3,2,0,g_1_lnYPDaJt,1.25,7.0,13.0,1.77,0.46
football,Serie A 2022 2023,Round 37,28/05/,Bologna,Napoli,2,2,1,g_1_EJOBdbl6,4.04,3.66,2.02,2.18,1.4
football,Serie A 2022 2023,Round 37,28/05/,Monza,Lecce,0,1,2,g_1_r9XTCJYn,2.2,3.28,3.68,0.95,1.08
football,Serie A 2022 2023,Round 37,28/05/,Verona,Empoli,1,1,1,g_1_MqSJfxJI,1.95,3.67,4.08,1.03,1.56
football,Serie A 2022 2023,Round 37,28/05/,Inter,Atalanta,3,2,0,g_1_0zRNgdYO,1.83,3.9,4.42,2.53,0.81
football,Serie A 2022 2023,Round 37,28/05/,Fiorentina,AS Roma,2,1,0,g_1_SMSFeI3C,2.43,3.39,3.08,2.32,1.13
football,Serie A 2022 2023,Round 37,27/05/,Salernitana,Udinese,3,2,0,g_1_dCyYBwlg,3.04,3.37,2.47,1.24,2.21
football,Serie A 2022 2023,Round 37,27/05/,Spezia,Torino,0,4,2,g_1_IRPtAHI5,2.62,3.18,2.98,0.81,1.01
football,Serie A 2022 2023,Round 37,27/05/,Sampdoria,Sassuolo,2,2,1,g_1_vyRxBc3a,4.1,4.1,1.85,2.0,3.15
football,Serie A 2022 2023,Round 36,23/05/,Empoli,Juventus,4,1,0,g_1_zT3xraZC,5.23,3.64,1.77,2.44,2.1
football,Serie A 2022 2023,Round 36,23/05/,AS Roma,Salernitana,2,2,1,g_1_pvXf0tks,1.54,4.15,7.26,1.34,1.04
football,Serie A 2022 2023,Round 36,22/05/,Udinese,Lazio,0,1,2,g_1_WfZ6cvZa,3.88,3.71,1.98,0.6,2.07
football,Serie A 2022 2023,Round 36,22/05/,Napoli,Inter,3,1,0,g_1_vcfS4MtQ,2.07,3.79,3.53,0.67,0.07
football,Serie A 2022 2023,Round 36,21/05/,Torino,Fiorentina,1,1,1,g_1_h4z3bKJg,2.23,3.28,3.62,0.86,0.86
football,Serie A 2022 2023,Round 36,21/05/,Lecce,Spezia,0,0,1,g_1_EJ2tsJlJ,2.09,3.15,4.27,0.24,0.73
football,Serie A 2022 2023,Round 36,21/05/,AC Milan,Sampdoria,5,1,0,g_1_SMjO52RJ,1.14,9.19,21.0,4.44,0.53
football,Serie A 2022 2023,Round 36,21/05/,Atalanta,Verona,3,1,0,g_1_v1ATqL40,1.46,4.82,7.1,1.43,1.16
football,Serie A 2022 2023,Round 36,20/05/,Cremonese,Bologna,1,5,2,g_1_Ii9XruK6,3.66,3.68,2.06,0.94,2.47
football,Serie A 2022 2023,Round 36,20/05/,Sassuolo,Monza,1,2,2,g_1_OUVba04m,2.18,3.7,3.3,1.52,1.51
football,Serie A 2022 2023,Round 35,16/05/,Sampdoria,Empoli,1,1,1,g_1_Wz7Loszl,3.94,3.5,2.04,1.31,1.63
football,Serie A 2022 2023,Round 35,15/05/,Juventus,Cremonese,2,0,0,g_1_0nXtgPsE,1.38,4.93,9.62,1.89,0.09
football,Serie A 2022 2023,Round 35,15/05/,Bologna,AS Roma,0,0,1,g_1_CQjnXsLf,2.76,3.15,2.85,0.37,0.95
football,Serie A 2022 2023,Round 35,14/05/,Fiorentina,Udinese,2,0,0,g_1_jHkjW1z1,1.83,3.8,4.56,1.41,0.21
football,Serie A 2022 2023,Round 35,14/05/,Monza,Napoli,2,0,0,g_1_n3Vli3CQ,3.57,3.43,2.18,1.32,1.32
football,Serie A 2022 2023,Round 35,14/05/,Verona,Torino,0,1,2,g_1_pvkfVLk7,2.44,3.18,3.27,0.48,1.56
football,Serie A 2022 2023,Round 35,14/05/,Inter,Sassuolo,4,2,0,g_1_bsgbUu5D,1.46,4.86,7.15,1.43,2.01
football,Serie A 2022 2023,Round 35,14/05/,Spezia,AC Milan,2,0,0,g_1_pvBPp1kf,4.74,3.66,1.83,1.9,1.04
football,Serie A 2022 2023,Round 35,13/05/,Salernitana,Atalanta,1,0,0,g_1_lCHGnNKs,5.14,4.27,1.66,0.57,1.26
football,Serie A 2022 2023,Round 35,13/05/,Lazio,Lecce,2,2,1,g_1_vwWphqcK,1.7,3.86,5.95,2.0,1.54
football,Serie A 2022 2023,Round 34,09/05/,Sassuolo,Bologna,1,1,1,g_1_O2Z9jWLF,2.36,3.64,3.02,0.42,0.45
football,Serie A 2022 2023,Round 34,09/05/,Empoli,Salernitana,2,1,0,g_1_xdzCVUqj,2.28,2.97,3.93,2.69,0.83
football,Serie A 2022 2023,Round 34,09/05/,Udinese,Sampdoria,2,0,0,g_1_fkdsYN5l,1.5,4.6,6.76,1.12,0.69
football,Serie A 2022 2023,Round 34,08/05/,Lecce,Verona,0,1,2,g_1_GnZFUlad,2.04,3.19,4.42,0.77,0.6
football,Serie A 2022 2023,Round 34,08/05/,Napoli,Fiorentina,1,0,0,g_1_rgR1hhi3,1.86,3.79,4.38,2.11,1.24
football,Serie A 2022 2023,Round 34,07/05/,Torino,Monza,1,1,1,g_1_GbcwZ3jr,2.1,3.38,3.85,0.87,0.5
football,Serie A 2022 2023,Round 34,07/05/,Atalanta,Juventus,0,2,2,g_1_IBguyiMS,2.5,3.39,2.98,1.18,1.13
football,Serie A 2022 2023,Round 34,07/05/,Cremonese,Spezia,2,0,0,g_1_fXp7WAUq,2.52,3.5,2.88,0.83,1.33
football,Serie A 2022 2023,Round 34,07/05/,AS Roma,Inter,0,2,2,g_1_QHG6iC69,3.34,3.26,2.43,0.99,0.89
football,Serie A 2022 2023,Round 34,06/05/,AC Milan,Lazio,2,0,0,g_1_42ScgYyc,1.93,3.64,4.5,0.93,0.64
football,Serie A 2022 2023,Round 33,05/05/,Empoli,Bologna,3,1,0,g_1_pr79NXiT,2.96,3.14,2.68,1.29,1.46
football,Serie A 2022 2023,Round 33,05/05/,Udinese,Napoli,1,1,1,g_1_OlfyxX6M,6.6,3.89,1.61,0.35,0.41
football,Serie A 2022 2023,Round 33,04/05/,AC Milan,Cremonese,1,1,1,g_1_WYuSuF7c,1.36,5.04,10.2,1.65,1.0
football,Serie A 2022 2023,Round 33,04/05/,Lazio,Sassuolo,2,0,0,g_1_IVyOtehi,1.68,4.23,5.03,2.2,1.0
football,Serie A 2022 2023,Round 33,04/05/,Monza,AS Roma,1,1,1,g_1_QeuWvZM3,4.38,3.26,2.02,0.46,0.89
football,Serie A 2022 2023,Round 33,04/05/,Verona,Inter,0,6,2,g_1_xzayJi0p,5.52,4.07,1.66,0.61,2.87
football,Serie A 2022 2023,Round 33,04/05/,Atalanta,Spezia,3,2,0,g_1_6i85ODxN,1.38,5.52,7.83,0.84,0.93
football,Serie A 2022 2023,Round 33,04/05/,Juventus,Lecce,2,1,0,g_1_GQcuIBFj,1.57,3.91,7.2,1.93,1.51
football,Serie A 2022 2023,Round 33,04/05/,Salernitana,Fiorentina,3,3,1,g_1_4nvzvgxA,4.35,3.89,1.84,1.15,2.0
football,Serie A 2022 2023,Round 33,04/05/,Sampdoria,Torino,0,2,2,g_1_pbeXxDiG,5.23,3.62,1.78,0.25,2.08
football,Serie A 2022 2023,Round 32,01/05/,Bologna,Juventus,1,1,1,g_1_WYgNBzgH,3.88,3.27,2.14,1.85,2.3
football,Serie A 2022 2023,Round 32,01/05/,Fiorentina,Sampdoria,5,0,0,g_1_hlrW9ENT,1.38,5.36,8.58,1.74,0.28
football,Serie A 2022 2023,Round 32,30/04/,Cremonese,Verona,1,1,1,g_1_APhRAf8N,3.28,3.18,2.43,0.49,1.21
football,Serie A 2022 2023,Round 32,30/04/,Napoli,Salernitana,1,1,1,g_1_M3MqTyOi,1.19,8.01,14.6,1.59,0.3
football,Serie A 2022 2023,Round 32,30/04/,Sassuolo,Empoli,2,1,0,g_1_IVFhRFh4,2.08,3.58,3.7,0.95,0.49
football,Serie A 2022 2023,Round 32,30/04/,Inter,Lazio,3,1,0,g_1_U9Zc5YVp,1.84,3.57,4.85,3.36,0.73
football,Serie A 2022 2023,Round 32,30/04/,Torino,Atalanta,1,2,2,g_1_OSI0PgNG,3.34,3.34,2.31,0.04,0.09
football,Serie A 2022 2023,Round 32,30/04/,AS Roma,AC Milan,1,1,1,g_1_vuHlSewb,3.01,2.99,2.74,1.3,1.17
football,Serie A 2022 2023,Round 32,29/04/,Spezia,Monza,0,2,2,g_1_ChFdQZ7A,2.89,3.34,2.7,1.75,0.91
football,Serie A 2022 2023,Round 32,29/04/,Lecce,Udinese,1,0,0,g_1_rDNuUH8o,2.22,3.21,3.72,2.0,0.75
football,Serie A 2022 2023,Round 31,25/04/,Atalanta,AS Roma,3,1,0,g_1_p4Gtac9B,2.62,3.28,2.91,0.99,1.12
football,Serie A 2022 2023,Round 31,24/04/,Juventus,Napoli,0,1,2,g_1_UiIhdegU,3.08,3.08,2.62,0.39,1.41
football,Serie A 2022 2023,Round 31,24/04/,AC Milan,Lecce,2,0,0,g_1_8Im3Gbvn,1.54,4.1,7.16,0.97,1.21
football,Serie A 2022 2023,Round 31,23/04/,Monza,Fiorentina,3,2,0,g_1_2um7FIgh,3.81,3.38,2.12,1.62,1.48
football,Serie A 2022 2023,Round 31,23/04/,Udinese,Cremonese,3,0,0,g_1_xbuKCGwB,1.77,3.88,4.85,1.69,1.08
