sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Serie B 2024 2025,Regular Season,23/06/,Salernitana,SampdoriaWinner,0,3,2,g_1_2BV8u0B6,2.17,3.42,3.29,0.6,0.81
football,Serie B 2024 2025,Regular Season,16/06/,Sampdoria,Salernitana,2,0,0,g_1_foS0sMtf,2.27,2.83,3.79,1.87,0.62
football,Serie B 2024 2025,Regular Season,02/06/,Spezia,CremoneseWinner,2,3,2,g_1_pnBj3fgU,2.34,3.32,3.04,1.14,1.62
football,Serie B 2024 2025,Regular Season,30/05/,Cremonese,Spezia,0,0,1,g_1_vk8r5GOH,1.98,3.29,4.05,0.66,0.46
football,Serie B 2024 2025,Regular Season,26/05/,SpeziaAdvancing to next round,Catanzaro,2,1,0,g_1_Um4G56R0,1.89,3.72,4.11,0.92,0.88
football,Serie B 2024 2025,Regular Season,26/05/,CremoneseAdvancing to next round,Juve Stabia,3,0,0,g_1_I9pBRmlK,1.53,3.99,6.49,1.05,0.17
football,Serie B 2024 2025,Regular Season,22/05/,Catanzaro,Spezia,0,2,2,g_1_zkB77Sdl,3.74,3.03,2.17,0.24,1.63
football,Serie B 2024 2025,Regular Season,22/05/,Juve Stabia,Cremonese,2,1,0,g_1_212O3pdD,3.41,3.21,2.21,1.76,1.44
football,Serie B 2024 2025,Regular Season,18/05/,Juve StabiaAdvancing to next round,Palermo,1,0,0,g_1_lAjFb9ad,2.81,3.11,2.63,1.13,0.4
football,Serie B 2024 2025,Regular Season,18/05/,CatanzaroAdvancing to next round,Cesena,1,0,0,g_1_GGr1MCi3,2.17,3.03,3.74,0.47,1.66
football,Serie B 2024 2025,Round 34,14/05/,Brescia,Reggiana,2,1,0,g_1_vHx0ZmRP,1.46,4.25,7.38,1.62,1.43
football,Serie B 2024 2025,Round 34,14/05/,Cittadella,Salernitana,0,2,2,g_1_b1JWTRlm,3.3,3.21,2.26,0.92,1.53
football,Serie B 2024 2025,Round 34,14/05/,Juve Stabia,Sampdoria,0,0,1,g_1_6RMvS5Ja,3.16,2.94,2.5,0.91,1.43
football,Serie B 2024 2025,Round 34,14/05/,Mantova,Catanzaro,0,0,1,g_1_StBmQqlC,2.0,3.25,4.0,0.88,0.19
football,Serie B 2024 2025,Round 34,14/05/,Modena,Cesena,0,1,2,g_1_CWXK7yYp,3.31,3.1,2.3,0.72,0.6
football,Serie B 2024 2025,Round 34,14/05/,Palermo,Carrarese,1,1,1,g_1_SvG7VvQi,1.46,4.76,6.26,1.87,0.65
football,Serie B 2024 2025,Round 34,14/05/,Pisa,Cremonese,2,1,0,g_1_0hEFTIf4,2.26,3.47,3.05,1.18,0.89
football,Serie B 2024 2025,Round 34,14/05/,Sassuolo,Frosinone,0,1,2,g_1_dK7ORdPG,3.29,3.42,2.17,0.72,2.14
football,Serie B 2024 2025,Round 34,14/05/,Spezia,Cosenza,3,1,0,g_1_lSPVPzfT,1.3,5.76,8.52,1.94,2.35
football,Serie B 2024 2025,Round 34,14/05/,Sudtirol,Bari,0,0,1,g_1_Ya12KEHj,3.21,3.41,2.21,0.8,2.05
football,Serie B 2024 2025,Round 38,10/05/,Cittadella,Bari,3,1,0,g_1_dhB9PRFi,2.88,3.21,2.5,1.86,0.85
football,Serie B 2024 2025,Round 38,10/05/,Cosenza,Cesena,0,1,2,g_1_hK4IN5p4,3.95,3.34,1.98,1.08,0.32
football,Serie B 2024 2025,Round 38,10/05/,Juve Stabia,Reggiana,1,2,2,g_1_QX2QLqFG,2.38,2.71,3.71,1.85,1.16
football,Serie B 2024 2025,Round 38,10/05/,Mantova,Carrarese,2,1,0,g_1_MadZJNqT,2.04,3.09,4.08,1.36,0.99
football,Serie B 2024 2025,Round 38,10/05/,Modena,Brescia,2,2,1,g_1_jFn5E17j,2.21,3.11,3.51,0.96,1.43
football,Serie B 2024 2025,Round 38,10/05/,Palermo,Frosinone,2,0,0,g_1_WAPix5ac,1.93,3.23,4.37,1.33,1.59
football,Serie B 2024 2025,Round 38,10/05/,Pisa,Sudtirol,3,3,1,g_1_vyTazqU9,2.42,2.92,3.32,1.31,2.1
